"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.871128871128871","1","0.0175479783225763","0.294827861929963","0.901173584728075","237","c(""SYNJ2BP"", ""HMCN1"", ""RGCC"", ""HLA-DRB1"", ""CD99"", ""FOXO3"", ""CD177"", ""P2RY12"", ""DNAJB6"", ""EPB41L5"", ""PRKCA"", ""ZBTB16"", ""TJP1"", ""SELPLG"", ""PPP1CA"", ""NCK2"", ""PTPRG"", ""STXBP3"", ""CLDN4"", ""RHOA"", ""STXBP6"", ""VSIR"", ""RAB10"", ""KIF26B"", ""SCRIB"", ""CDH11"", ""DSC2"", ""METAP1"", ""MYADM"", ""DCHS2"", ""JAM3"", ""ITGAL"", ""ASS1"", ""RAC2"", ""TJP2"", ""ARVCF"", ""PRNP"", ""SLC7A11"", ""PCDHA9"", ""BCL10"", ""ICAM1"", ""PRKAR1A"", ""LGALS1"", ""PIP5K1C"", ""TGFBR2"", ""NINJ1"", ""GPC4"", ""YES1"", ""CD34"", ""DLG1"", ""ESAM"", ""SELENOK"", ""TENM4"", ""NPHP4"", ""HSPH1"", 
""CDC42EP1"", ""CAMSAP3"", ""GNAS"", ""CD81"", ""CEBPB"", ""ATP1B2"", ""CD55"", ""PDGFRA"", ""NEGR1"", ""NEO1"", ""NINJ2"", ""SASH3"", ""SEMA4D"", ""MINK1"", ""GPNMB"", ""NLGN3"", ""CDH20"", ""CD9"", ""CTNNA3"", ""JAM2"", ""CORO1A"", ""PKP2"", ""JUP"", ""CAV1"", ""CLDN11"", ""CDH13"", ""ANXA2"", ""CBLL1"", ""GOLPH3"", ""MAG"", ""MBP"", ""DUSP3"", ""CD200"", ""NFASC"", ""TJP3"", ""ADA"", ""CDH2"", ""CD44"", ""CELSR2"", ""TLN2"", ""PKD1"", ""TYRO3"", ""CD33"", ""F11R"", ""DSP"", ""CTNND2"", ""CNTN2"", ""CXADR"", ""CD47"", ""FXYD5"", ""NRXN2"", ""PTPRD"", ""CYRIB"", ""SIRPA"", ""TNR"", ""PCDHGC3"", ""SPARCL1"", 
""DMTN"", ""ADGRL3"", ""EGFR"", ""FYN"", ""HLA-A"", ""PTPRS"", ""WNK1"", ""TRIM29"", ""PTPN11"", ""EXT1"", ""TTYH1"", ""NCAM2"", ""ITGAM"", ""ITGA2"", ""AQP4"", ""PAK4"", ""PLPP3"", ""IL18"", ""CNTN1"", ""NECTIN3"", ""MPZL2"", ""LRRC4B"", ""IL4I1"", ""CTNNB1"", ""NT5E"", ""FADD"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.827172827172827","1","0.0208547494438027","0.299699126960272","0.872727015580061","87","c(""HLA-DRB1"", ""FOXO3"", ""CD177"", ""ZBTB16"", ""SELPLG"", ""NCK2"", ""RHOA"", ""VSIR"", ""SCRIB"", ""ITGAL"", ""ASS1"", ""RAC2"", ""PRNP"", ""BCL10"", ""ICAM1"", ""PRKAR1A"", ""LGALS1"", ""TGFBR2"", ""YES1"", ""DLG1"", ""SELENOK"", ""HSPH1"", ""CD81"", ""CEBPB"", ""CD55"", ""SASH3"", ""SEMA4D"", ""GPNMB"", ""JAM2"", ""CORO1A"", ""CAV1"", ""GOLPH3"", ""DUSP3"", ""ADA"", ""CD44"", ""F11R"", ""CD47"", ""CYRIB"", ""SIRPA"", ""FYN"", ""HLA-A"", ""WNK1"", ""PTPN11"", ""EXT1"", ""IL18"", ""IL4I1"", ""NT5E"", ""FADD"", ""PIK3CA"", ""NCK1"", ""THY1"", ""ITGB2"", ""SDC4"", ""IL6ST"", ""RELA"", ""SLC7A1"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.789210789210789","1","0.0235793094960052","0.305530598513416","0.899446244998719","114","c(""STX4"", ""HLA-DRB1"", ""DAG1"", ""LIF"", ""APBB1IP"", ""FOXO3"", ""P2RY12"", ""DNM2"", ""PLEKHA2"", ""GSK3B"", ""EPB41L5"", ""PRKCA"", ""ARL2"", ""ZBTB16"", ""TJP1"", ""NCK2"", ""RHOA"", ""VSIR"", ""RRAS"", ""KIF26B"", ""MYADM"", ""CRK"", ""BCL10"", ""VIT"", ""LGALS1"", ""CIB1"", ""TGFBR2"", ""YES1"", ""SELENOK"", ""RIN2"", ""HSPH1"", ""CD81"", ""CD55"", ""SASH3"", ""COL16A1"", ""CORO1A"", ""TGM2"", ""JUP"", ""NID1"", ""CAV1"", ""CDH13"", ""CDC42"", ""ADA"", ""MAP4K4"", ""CD44"", ""F11R"", ""BAG4"", ""CD47"", ""UTRN"", ""CYRIB"", ""SIRPA"", ""DMTN"", ""FRMD5"", ""S100A10"", ""FYN"", ""HLA-A"", ""EDIL3"", 
""FMN1"", ""PTPN11"", ""ITGA2"", ""PLPP3"", ""IL18"", ""RAC1"", ""IL4I1"", ""FADD"", ""PRKCE"", ""PIK3CA"", ""NCK1"", ""PPP3CA"", ""THY1"", ""CRKL"", ""ITGB2"", ""UNC13D"", ""SDC4"", ""IL6ST"", ""RELA"", ""SLC7A1"", ""PREX1"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.876123876123876","1","0.0171553985751332","0.287571671337974","0.818640890169305","61","c(""HLA-DRB1"", ""FOXO3"", ""ZBTB16"", ""TJP1"", ""NCK2"", ""RHOA"", ""VSIR"", ""KIF26B"", ""BCL10"", ""LGALS1"", ""TGFBR2"", ""YES1"", ""SELENOK"", ""HSPH1"", ""CD81"", ""CD55"", ""SASH3"", ""CORO1A"", ""CAV1"", ""ADA"", ""CD44"", ""F11R"", ""CD47"", ""CYRIB"", ""SIRPA"", ""DMTN"", ""FYN"", ""HLA-A"", ""PTPN11"", ""PLPP3"", ""IL18"", ""IL4I1"", ""FADD"", ""PIK3CA"", ""NCK1"", ""THY1"", ""ITGB2"", ""IL6ST"", ""RELA"", ""SLC7A1"", ""HMGB1"", ""HSPD1"", ""CD83"", ""AFDN"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.769230769230769","1","0.0249900772245545","0.311098540671328","0.87245935063658","50","c(""HLA-DRB1"", ""FOXO3"", ""ZBTB16"", ""NCK2"", ""RHOA"", ""VSIR"", ""BCL10"", ""LGALS1"", ""TGFBR2"", ""YES1"", ""SELENOK"", ""HSPH1"", ""CD81"", ""CD55"", ""SASH3"", ""CORO1A"", ""CAV1"", ""ADA"", ""CD44"", ""CD47"", ""CYRIB"", ""SIRPA"", ""FYN"", ""HLA-A"", ""PTPN11"", ""IL18"", ""IL4I1"", ""FADD"", ""PIK3CA"", ""NCK1"", ""THY1"", ""ITGB2"", ""IL6ST"", ""RELA"", ""SLC7A1"", ""HMGB1"", ""HSPD1"", ""CD83"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.704295704295704","1","0.0295645497308931","0.311637430483069","0.944125576718407","195","c(""FAM107A"", ""STX4"", ""RGCC"", ""HLA-DRB1"", ""DAG1"", ""LIF"", ""APBB1IP"", ""FOXO3"", ""P2RY12"", ""DNM2"", ""PLEKHA2"", ""GSK3B"", ""EPB41L5"", ""PRKCA"", ""ARL2"", ""ZBTB16"", ""TJP1"", ""NCK2"", ""PTPRG"", ""DAPK3"", ""CLASP1"", ""PPP1CB"", ""RHOA"", ""VSIR"", ""RRAS"", ""NF1"", ""KIF26B"", ""SCRIB"", ""MYADM"", ""JAM3"", ""ASS1"", ""RAC2"", ""PRNP"", ""CRK"", ""PLXNB1"", ""BCL10"", ""PRKAR1A"", ""VIT"", ""LGALS1"", ""CIB1"", ""TGFBR2"", ""SERPINI1"", ""SLC9A1"", ""YES1"", ""LAMA4"", ""DLG1"", ""CORO2B"", ""AJAP1"", ""SELENOK"", ""ADAM10"", ""RIN2"", ""HSPH1"", ""CAMSAP3"", ""CD81"", ""CEBPB"", 
""CD55"", ""SASH3"", ""SEMA4D"", ""MINK1"", ""GPNMB"", ""COL16A1"", ""CD9"", ""CORO1A"", ""TGM2"", ""EPHA2"", ""JUP"", ""NID1"", ""CAV1"", ""CDH13"", ""CBLL1"", ""CDC42"", ""MBP"", ""DUSP3"", ""ARHGDIA"", ""ADA"", ""MAP4K4"", ""CD44"", ""CELSR2"", ""CASK"", ""CYTH1"", ""PKD1"", ""BST1"", ""F11R"", ""BAG4"", ""CD47"", ""FXYD5"", ""UTRN"", ""CYRIB"", ""SIRPA"", ""TNR"", ""ADAM22"", ""DMTN"", ""FRMD5"", ""GPM6B"", ""S100A10"", ""LIMCH1"", ""FYN"", ""HLA-A"", ""EDIL3"", ""FMN1"", ""WNK1"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.855144855144855","1","0.0187775930480379","0.294495850488066","0.858891759610439","95","c(""RGCC"", ""HLA-DRB1"", ""FOXO3"", ""EPB41L5"", ""PRKCA"", ""ZBTB16"", ""TJP1"", ""NCK2"", ""PTPRG"", ""RHOA"", ""VSIR"", ""KIF26B"", ""SCRIB"", ""MYADM"", ""ASS1"", ""PRNP"", ""BCL10"", ""PRKAR1A"", ""LGALS1"", ""TGFBR2"", ""YES1"", ""DLG1"", ""SELENOK"", ""HSPH1"", ""CD81"", ""CEBPB"", ""CD55"", ""SASH3"", ""MINK1"", ""GPNMB"", ""CD9"", ""CORO1A"", ""CAV1"", ""MBP"", ""DUSP3"", ""ADA"", ""CD44"", ""CELSR2"", ""F11R"", ""CD47"", ""FXYD5"", ""CYRIB"", ""SIRPA"", ""TNR"", ""DMTN"", ""FYN"", ""HLA-A"", ""WNK1"", ""PTPN11"", ""PLPP3"", ""IL18"", ""IL4I1"", ""FADD"", ""PIK3CA"", ""NCK1"", ""THY1"", ""ITGB2"", 
""RDX"", ""SDC4"", ""IL6ST"", ""RELA"", ""SLC7A1"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.513486513486514","0.995486416410291","0.0444181153081573","0.322382266904522","0.995766608489119","315","c(""APC"", ""SAV1"", ""FAM107A"", ""HMGA1"", ""HMCN1"", ""AKAP12"", ""P2RX7"", ""MXRA8"", ""SPTBN4"", ""DAG1"", ""JCAD"", ""APBB1IP"", ""CD99"", ""LIN7A"", ""FSCN1"", ""RAP1B"", ""DNM2"", ""AFAP1"", ""EPB41L5"", ""PDZD11"", ""EVL"", ""ARL2"", ""SYNM"", ""HSPA1B"", ""TJP1"", ""PPP1CA"", ""ENAH"", ""SORBS1"", ""CLDN4"", ""IRF2"", ""ATP1A2"", ""EPB41L2"", ""CLASP1"", ""CYBA"", ""HSPA8"", ""PPP1CB"", ""RHOA"", ""STXBP6"", ""PLEC"", ""RRAS"", ""STARD10"", ""RAB10"", ""LDB3"", ""SCRIB"", ""CDH11"", ""PARD3B"", ""DSC2"", ""ATAT1"", ""NHS"", ""ARHGEF2"", ""CAP1"", ""MYADM"", ""WASF2"", ""JAM3"", ""RAC2"", ""TJP2"", 
""ARVCF"", ""CD59"", ""CDC42EP4"", ""STRN"", ""MAP2K1"", ""APP"", ""GSN"", ""IL16"", ""ICAM1"", ""ARHGAP31"", ""PIP5K1C"", ""PARK7"", ""PAK2"", ""AHNAK"", ""SLC9A1"", ""YES1"", ""DLG1"", ""MAPRE1"", ""CORO2B"", ""GJB6"", ""ESAM"", ""AJAP1"", ""PPFIBP1"", ""DMD"", ""DCTN4"", ""GNB2"", ""LIMK1"", ""NPHP4"", ""FLNC"", ""AIF1L"", ""ADAM10"", ""VIM"", ""CDC42EP1"", ""CAMSAP3"", ""TNS1"", ""CD81"", ""RHOG"", ""OPALIN"", ""MARCKS"", ""ILDR1"", ""CAPN5"", ""YWHAH"", ""CLIC4"", ""CD99L2"", ""NUMB"", ""RALA"", ""PPP1CC"", ""CDH20"", ""GNA13"", ""CD9"", ""CTNNA3"", ""JAM2"", ""EPB41L3"", ""REXO2"", ""CORO1A"", ""TGM2"", 
""PKP2"", ""GRB2"", ""EPHA2"", ""JUP"", ""CAV1"", ""MAPK3"", ""CLDN11"", ""NDRG1"", ""CDH13"", ""ANXA2"", ""MAPRE2"", ""CNTNAP2"", ""ANXA5"", ""YWHAZ"", ""CYFIP1"", ""CDC42"", ""SIRT2"", ""NFASC"", ""TJP3"", ""ARHGAP26"", ""HEPACAM"", ""MAP4K4"", ""CDH2"", ""CD44"", ""CASK"", ""HSPG2"", ""TLN2"", ""PALS2"", ""CFL1"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.338661338661339","0.945986260737547","0.0637845390312975","0.345066273855362","1.04283579840423","181","c(""FAM107A"", ""HMGA1"", ""HMCN1"", ""AKAP12"", ""DAG1"", ""APBB1IP"", ""CD99"", ""DNM2"", ""AFAP1"", ""EPB41L5"", ""EVL"", ""ARL2"", ""HSPA1B"", ""ENAH"", ""SORBS1"", ""IRF2"", ""EPB41L2"", ""CLASP1"", ""CYBA"", ""HSPA8"", ""PPP1CB"", ""RHOA"", ""PLEC"", ""RRAS"", ""RAB10"", ""ATAT1"", ""NHS"", ""ARHGEF2"", ""CAP1"", ""RAC2"", ""CD59"", ""MAP2K1"", ""GSN"", ""IL16"", ""ICAM1"", ""ARHGAP31"", ""PIP5K1C"", ""AHNAK"", ""SLC9A1"", ""YES1"", ""MAPRE1"", ""CORO2B"", ""PPFIBP1"", ""DMD"", ""DCTN4"", ""GNB2"", ""LIMK1"", ""FLNC"", ""AIF1L"", ""ADAM10"", ""VIM"", ""CDC42EP1"", ""TNS1"", ""CD81"", ""RHOG"", ""MARCKS"", 
""CAPN5"", ""CD99L2"", ""NUMB"", ""RALA"", ""PPP1CC"", ""GNA13"", ""CD9"", ""REXO2"", ""TGM2"", ""EPHA2"", ""JUP"", ""CAV1"", ""MAPK3"", ""CDH13"", ""MAPRE2"", ""ANXA5"", ""YWHAZ"", ""CYFIP1"", ""CDC42"", ""NFASC"", ""ARHGAP26"", ""MAP4K4"", ""CDH2"", ""CD44"", ""CASK"", ""HSPG2"", ""TLN2"", ""CFL1"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.796203796203796","1","0.0230827802358481","0.303139425003676","0.918877883631807","196","c(""PPFIA4"", ""STX4"", ""LRP2"", ""HLA-C"", ""P2RX7"", ""MXRA8"", ""HLA-DRB1"", ""DAG1"", ""CD40"", ""P2RY12"", ""TSPAN14"", ""CNTFR"", ""GSR"", ""GFRA2"", ""PLAT"", ""SPARC"", ""LRPAP1"", ""SLC6A1"", ""HSPA2"", ""HNRNPU"", ""IGHV1-24"", ""ITGAL"", ""WNT6"", ""ECE1"", ""SLC2A4"", ""CD59"", ""PRNP"", ""SEMA7A"", ""CD8A"", ""SLC7A11"", ""ENO2"", ""APP"", ""ANPEP"", ""BTN3A3"", ""ICAM1"", ""TGFBR2"", ""CRYAB"", ""GPC4"", ""IGHV4-4"", ""SLC9A1"", ""MIF"", ""CD34"", ""CPM"", ""SLC3A2"", ""AJAP1"", ""DMD"", ""GPRC5B"", ""ADGRA3"", ""ADAM10"", ""TNS1"", ""DIP2A"", ""FGF10"", ""ATP1B2"", ""CAPN5"", ""ATP5IF1"", 
""CD55"", ""SORL1"", ""PDGFRA"", ""ENTPD6"", ""CLIC4"", ""NEO1"", ""CD99L2"", ""RALA"", ""NLGN3"", ""CD9"", ""JAM2"", ""TSPAN8"", ""EPHA2"", ""CDH13"", ""ANXA2"", ""CNTNAP2"", ""ANXA5"", ""MBP"", ""CD200"", ""SLC1A3"", ""MOG"", ""NCAM1"", ""ADA"", ""BTN2A1"", ""CDH2"", ""FOLH1"", ""CD44"", ""PKD1"", ""SORT1"", ""MPZL1"", ""TYRO3"", ""CD38"", ""CD33"")"
"11","","Adhesion","GOCC_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE","GO:0031226","The component of the plasma membrane consisting of the gene products and protein complexes having either part of their peptide sequence embedded in the hydrophobic region of the membrane or some other covalently attached group such as a GPI anchor that is similarly embedded in the membrane. [GOC:dos, GOC:mah]","0.814185814185814","1","0.0217960026831818","0.301532231197427","0.927080343733436","280","c(""ABHD6"", ""IFNGR1"", ""IRS1"", ""HLA-C"", ""P2RX7"", ""HLA-DRB1"", ""GPR34"", ""CD99"", ""CD40"", ""CD177"", ""GAL3ST1"", ""SLC16A2"", ""NTRK3"", ""TSPAN14"", ""CNTFR"", ""LRRC8D"", ""SELPLG"", ""ABHD12"", ""PTPRG"", ""CLDN4"", ""ATP1A2"", ""CYBA"", ""GRM8"", ""KCND2"", ""FCAR"", ""SLC29A1"", ""LRRC38"", ""SEMA3G"", ""STXBP5"", ""SLC16A12"", ""SLC15A2"", ""TRPM3"", ""SLC6A1"", ""CALHM2"", ""JAM3"", ""ITGAL"", ""SLC2A4"", ""CD59"", ""PRNP"", ""SEMA3B"", ""SEMA7A"", ""CD8A"", ""SGCB"", ""PCDHA9"", ""PLXNB1"", ""REEP2"", ""APP"", ""SLC6A13"", ""ICAM1"", ""PLGRKT"", ""TGFBR2"", ""CALCRL"", ""GPC4"", 
""MTSS1"", ""SLC9A1"", ""IRAG2"", ""RASA3"", ""CD34"", ""PALM"", ""ORAI1"", ""CALM3"", ""ATP1B3"", ""AJAP1"", ""TENM4"", ""GRM3"", ""SLC7A2"", ""CACNB2"", ""SORCS2"", ""SLCO1C1"", ""SLC22A3"", ""CD81"", ""ATP1B2"", ""RYR1"", ""PORCN"", ""SORL1"", ""SLC16A1"", ""PDGFRA"", ""SSPN"", ""NEO1"", ""NINJ2"", ""SEMA4D"", ""GPNMB"", ""NLGN3"", ""SLC14A1"", ""TSPAN18"", ""KCNS3"", ""CD9"", ""SLC2A14"", ""JAM2"", ""TGM2"", ""ANO1"", ""TSPAN8"", ""LANCL1"", ""EPHA2"", ""CAV1"", ""CNTNAP2"", ""S1PR3"", ""SGCE"", ""TRAF2"", ""MAG"", ""CD200"", ""SLC1A3"", ""NFASC"", ""BTN2A1"", ""EVI2B"", ""CDH2"", ""PLP1"", ""KCNAB2"", 
""FOLH1"", ""SLC22A2"", ""CD44"", ""CD82"", ""PKD1"", ""PLPP1"", ""MPZL1"", ""TYRO3"", ""SLC16A3"", ""CD33"", ""ATP1A1"", ""SLC5A3"", ""CNTN2"", ""CXADR"", ""CD47"", ""ADAM23"", ""SLCO2A1"", ""PTPRD"", ""GJA1"", ""ADCY5"", ""SIRPA"", ""PCDHGC3"", ""ADCYAP1R1"", ""PTPRZ1"", ""ADAM22"", ""ADGRL3"", ""EGFR"", ""HLA-A"", ""ATP2B4"", ""PTPRS"", ""ATP1A3"", ""CNTNAP1"", ""ITGAM"", ""SLC22A6"", ""ITGA2"", ""PGRMC1"", ""ENTPD1"", ""TSPAN15"", ""SLC24A2"", ""TRHDE"", ""BRS3"", ""VAMP5"", ""AQP4"", ""PLPP3"", ""CYBB"", ""HTRA2"", ""CNTN1"", ""CD151"", ""NECTIN3"", ""LRRC4B"", ""ABCC9"", ""SLC17A5"", ""F3"", ""SLC2A5"", 
""SCNN1G"", ""KCNA2"", ""SLC23A1"", ""TMBIM6"", ""RAPGEF2"", ""MOSPD2"", ""THY1"", ""ITGA1"", ""ATP1B1"", ""ITGB2"", ""SCN2A"", ""SLC6A9"", ""EEPD1"")"
"12","","Adhesion","GOBP_CELL_MATRIX_ADHESION","GO:0007160","The binding of a cell to the extracellular matrix via adhesion molecules. [GOC:hb]","0.378621378621379","0.967192023662612","0.0584693210386381","0.362917979024774","1.04571325976309","72","c(""FAM107A"", ""DAG1"", ""PLEKHA2"", ""GSK3B"", ""EPB41L5"", ""SORBS1"", ""DAPK3"", ""CLASP1"", ""RHOA"", ""RRAS"", ""NF1"", ""JAM3"", ""ITGAL"", ""CIB1"", ""SLC9A1"", ""CD34"", ""CORO2B"", ""AJAP1"", ""SNED1"", ""RIN2"", ""CAMSAP3"", ""CDK5"", ""MINK1"", ""COL16A1"", ""JUP"", ""NID1"", ""CDH13"", ""SGCE"", ""DUSP3"", ""MAP4K4"", ""CD44"", ""TIMM10B"", ""CASK"", ""PKD1"", ""BST1"", ""NID2"", ""UTRN"", ""DMTN"", ""GPM6B"", ""S100A10"", ""LIMCH1"", ""FMN1"")"
"13","","Adhesion","GOBP_CELL_SUBSTRATE_ADHESION","GO:0031589","The attachment of a cell to the underlying substrate via adhesion molecules. [GOC:mah, GOC:pf]","0.599400599400599","1","0.0373029764832679","0.327905669918609","0.962932360549374","109","c(""FAM107A"", ""DAG1"", ""LAMB2"", ""DNM2"", ""PLEKHA2"", ""GSK3B"", ""EPB41L5"", ""ARL2"", ""SORBS1"", ""SRGAP2"", ""DAPK3"", ""CLASP1"", ""RHOA"", ""GAS6"", ""RRAS"", ""NF1"", ""MYADM"", ""JAM3"", ""ITGAL"", ""RAC2"", ""CRK"", ""VIT"", ""CIB1"", ""SLC9A1"", ""CD34"", ""LAMC1"", ""CORO2B"", ""AJAP1"", ""SNED1"", ""RIN2"", ""CAMSAP3"", ""ATP1B2"", ""CDK5"", ""MINK1"", ""COL16A1"", ""CORO1A"", ""JUP"", ""NID1"", ""CDH13"", ""SGCE"", ""CDC42"", ""DUSP3"", ""MAP4K4"", ""CD44"", ""TIMM10B"", ""CASK"", ""PKD1"", ""TYRO3"", ""BST1"", ""NID2"", ""SRCIN1"", ""UTRN"", ""DMTN"", ""GPM6B"", ""S100A10"", ""LIMCH1"", 
""EDIL3"", ""FMN1"", ""PARVB"", ""TTYH1"", ""ITGAM"", ""ITGA2"")"
"14","","Adhesion","GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION","GO:0045229","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of external structures that lie outside the plasma membrane and surround the entire cell. [GOC:ai, GOC:dph, GOC:jl, GOC:mah]","0.0879120879120879","0.75152144443483","0.147331213699377","0.421432494458911","1.21222319529311","70","c(""HMCN1"", ""COL15A1"", ""RGCC"", ""OLFML2B"", ""DAG1"", ""LAMB2"", ""FSCN1"", ""DNAJB6"", ""CLASP1"", ""COL2A1"", ""GAS6"", ""NF1"", ""TPSAB1"", ""LOXL4"", ""COL4A5"", ""APP"", ""PHLDB1"", ""GSN"", ""VIT"", ""COL4A4"", ""ADAMTSL3"", ""LAMC1"", ""CAPG"", ""PRDX4"", ""ADAM10"", ""ELN"", ""PDGFRA"", ""COL4A1"", ""COL16A1"", ""HAPLN2"")"
"15","","Adhesion","GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION","GO:0010810","Any process that modulates the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules. [GOC:dph, GOC:pf, GOC:tb]","0.362637362637363","0.958223006766696","0.0605092988656667","0.36856093194451","1.055215469422","66","c(""FAM107A"", ""DAG1"", ""DNM2"", ""PLEKHA2"", ""GSK3B"", ""EPB41L5"", ""ARL2"", ""DAPK3"", ""CLASP1"", ""RHOA"", ""RRAS"", ""NF1"", ""MYADM"", ""RAC2"", ""CRK"", ""VIT"", ""CIB1"", ""SLC9A1"", ""CORO2B"", ""AJAP1"", ""RIN2"", ""CAMSAP3"", ""MINK1"", ""COL16A1"", ""JUP"", ""NID1"", ""CDH13"", ""CDC42"", ""DUSP3"", ""MAP4K4"", ""CASK"", ""BST1"", ""UTRN"", ""DMTN"", ""GPM6B"", ""S100A10"", ""LIMCH1"", ""EDIL3"", ""FMN1"")"
"16","","Adhesion","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX","GO:0062023","An extracellular matrix consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that provides not only essential physical scaffolding for the cellular constituents but can also initiate crucial biochemical and biomechanical cues required for tissue morphogenesis, differentiation and homeostasis. The components are secreted by cells in the vicinity and form a sheet underlying or overlying cells such as endothelial and epithelial cells. [GOC:BHF, GOC:rph, PMID:21123617]","0.392607392607393","0.971125436377814","0.0567672387487446","0.348271353791784","1.02985906102637","122","c(""HMCN1"", ""COL15A1"", ""PF4"", ""COL7A1"", ""DAG1"", ""LAMB2"", ""MATN2"", ""NPPA"", ""AGRN"", ""ANGPTL4"", ""WNT2B"", ""COL2A1"", ""COCH"", ""PLAT"", ""TPSAB1"", ""EMILIN3"", ""SPARC"", ""SERPINB6"", ""SEMA3B"", ""SEMA7A"", ""HTRA1"", ""COL4A5"", ""TINAGL1"", ""ICAM1"", ""VIT"", ""COL4A4"", ""LGALS1"", ""GPC4"", ""ENTPD2"", ""LAMA4"", ""DLG1"", ""LAMC1"", ""SERPINB9"", ""MGP"", ""VCAN"", ""PKM"", ""LTBP1"", ""F9"", ""ELN"", ""FGF10"", ""COL4A1"", ""TIMP3"", ""COL16A1"", ""MFAP2"", ""TGM2"", ""NID1"", ""CDH13"", ""ANXA2"", ""ANXA5"", ""NCAM1"", ""CDH2"", ""CASK"", ""HSPG2"", ""LAMA2"", ""P3H2"", ""NID2"", 
""HDGF"", ""OMD"", ""TNR"", ""PTPRZ1"", ""SPARCL1"", ""S100A10"", ""VWA1"", ""EDIL3"", ""ACAN"")"
"17","","Adhesion","GOCC_COLLAGEN_TRIMER","GO:0005581","A protein complex consisting of three collagen chains assembled into a left-handed triple helix. These trimers typically assemble into higher order structures. [GOC:dos, GOC:mah, ISBN:0721639976, PMID:19693541, PMID:21421911]","0.397578203834511","0.971125436377814","0.0566484183613995","0.410793812534842","1.05437699880971","21","c(""COL15A1"", ""COL7A1"", ""C1QTNF7"", ""COL2A1"", ""COL4A5"", ""COL4A4"", ""COL4A1"", ""COL16A1"")"
