Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.297297297,0.99891216,0.080858915,-0.209726128,-1.061720486,378,"c(""MYH9"", ""NECTIN2"", ""EFNB3"", ""IL7R"", ""ITGA10"", ""CDH3"", ""MYL9"", ""ABAT"", ""CLDN7"", ""NPHP4"", ""ACTN1"", ""GOLPH3"", ""SOX13"", ""CLDN20"", ""CASP3"", ""PAK4"", ""SMAD7"", ""VCL"", ""MAPK14"", ""LAMA3"", ""ANXA9"", ""TLN2"", ""CNTN2"", ""TJP3"", ""FOXJ1"", ""DNAJB6"", ""LIMS1"", ""BAIAP2"", ""TJP2"", ""CD93"", ""ZBTB1"", ""VMP1"", ""ITGAL"", ""PTPN23"", ""CELSR2"", ""ALOX12"", ""CD81"", ""IL4"", ""CRB2"", ""CTNNA1"", ""CELA2A"", ""ZMIZ1"", ""PTAFR"", ""FLNA"", ""CLDN1"", ""NLGN4Y"", ""SOX4"", ""CDH23"", ""LAMA5"", ""PRKCZ"", ""ABL1"", ""HLA-E"", ""AP3D1"", ""ZFP36L1"", ""MMP24"", ""CSK"", ""MAP2K5"", 
""SPARCL1"", ""CD99"", ""PKD1"", ""PTPRS"", ""SRC"", ""SH2B3"", ""BMP4"", ""IL12B"", ""ACTG1"", ""EPHB3"", ""FGFRL1"", ""HAS2"", ""SHC1"", ""PKP1"", ""CLDN19"", ""CD5"", ""AJUBA"", ""ST3GAL4"", ""LEF1"", ""SYNJ2BP"", ""FXYD5"", ""NTN1"", ""IGDCC3"", ""DOCK8"", ""NOTCH4"", ""ITGB7"", ""CDSN"", ""LGALS9"", ""FGA"", ""MAD2L2"", ""FUT3"", ""CITED2"", ""JAK3"", ""L1CAM"", ""CTNNB1"", ""EZR"", ""CDH22"", ""PIEZO1"", ""CLEC4G"", ""DLG5"", ""CD86"", ""SLC7A1"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.304195804,0.99891216,0.1482615,0.211121472,1.057413648,150,"c(""FUT4"", ""HSPH1"", ""LAPTM5"", ""CLECL1"", ""BTN2A2"", ""LRRC32"", ""CHST4"", ""PRKCQ"", ""CORO1A"", ""KLF4"", ""RAG2"", ""RASGRP1"", ""PRNP"", ""DUSP10"", ""CD27"", ""TNFSF11"", ""CEACAM1"", ""NFKBID"", ""IL4I1"", ""B2M"", ""HMGB1"", ""BCL6"", ""GLMN"", ""ZDHHC21"", ""SKAP1"", ""FERMT3"", ""TESPA1"", ""PODXL2"", ""STK10"", ""ARG1"", ""CARD11"", ""EGR3"", ""TNFSF4"", ""NCK2"", ""HLA-DQB1"", ""ADAM8"", ""CCL25"", ""AKT1"", ""SPTA1"", ""LGALS1"", ""SOX12"", ""NOD2"", ""IRAK1"", ""OLR1"", ""CCDC88B"", ""EFNB2"", ""HLA-G"", ""VTCN1"", ""HLA-DPB1"", ""SOCS1"", ""ZC3H8"", ""IGF2"", ""ZBTB16"", ""HLA-DMA"", 
""DHPS"", ""PAWR"", ""IL15"", ""SELE"", ""XBP1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.974358974,1,0.028362849,-0.159846125,-0.753759578,194,"c(""EFNB3"", ""IL7R"", ""HSD17B12"", ""SOX13"", ""CDC42"", ""SMAD7"", ""LIMS1"", ""ZBTB1"", ""PTPN23"", ""EPHA4"", ""CD81"", ""SPOCK2"", ""IL4"", ""FUT1"", ""ZMIZ1"", ""PTAFR"", ""FLNA"", ""CSPG5"", ""SOX4"", ""PRKCZ"", ""ABL1"", ""HLA-E"", ""AP3D1"", ""CSK"", ""DOCK5"", ""EFEMP2"", ""SRC"", ""IL12B"", ""TFE3"", ""HAS2"", ""HYAL1"", ""ARL2"", ""RHOD"", ""CD5"", ""ST3GAL4"", ""LEF1"", ""DOCK8"", ""SMAD3"", ""ITGB1BP1"", ""LGALS9"", ""FGA"", ""FUT3"", ""CITED2"", ""JAK3"", ""LDB1"", ""PIEZO1"", ""CD86"", ""SLC7A1"", ""AZU1"", ""FADD"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.388888889,0.99891216,0.120433372,0.210692619,1.019607177,121,"c(""FUT4"", ""HSPH1"", ""CLECL1"", ""BTN2A2"", ""CX3CL1"", ""CHST4"", ""PRKCQ"", ""CORO1A"", ""RASGRP1"", ""DUSP10"", ""CD27"", ""TNFSF11"", ""NFKBID"", ""IL4I1"", ""B2M"", ""HMGB1"", ""BCL6"", ""ADAM19"", ""SKAP1"", ""TESPA1"", ""PDPN"", ""CARD11"", ""EGR3"", ""PTPRU"", ""TNFSF4"", ""NCK2"", ""HLA-DQB1"", ""ADAM8"", ""AKT1"", ""SPTA1"", ""LGALS1"", ""SOX12"", ""NOD2"", ""IRAK1"", ""CCDC88B"", ""PLPP3"", ""EFNB2"", ""HLA-G"", ""VTCN1"", ""CEACAM6"", ""HLA-DPB1"", ""SOCS1"", ""IGF2"", ""TJP1"", ""ZBTB16"", ""HLA-DMA"", ""DHPS"", ""IL15"", ""SELE"", ""XBP1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.386075949,0.99891216,0.12267919,0.22620236,1.040967166,100,"c(""FUT4"", ""HSPH1"", ""CLECL1"", ""BTN2A2"", ""CHST4"", ""PRKCQ"", ""CORO1A"", ""RASGRP1"", ""DUSP10"", ""CD27"", ""TNFSF11"", ""NFKBID"", ""IL4I1"", ""B2M"", ""HMGB1"", ""BCL6"", ""SKAP1"", ""TESPA1"", ""CARD11"", ""EGR3"", ""TNFSF4"", ""NCK2"", ""HLA-DQB1"", ""ADAM8"", ""AKT1"", ""SPTA1"", ""LGALS1"", ""SOX12"", ""NOD2"", ""IRAK1"", ""CCDC88B"", ""EFNB2"", ""HLA-G"", ""VTCN1"", ""HLA-DPB1"", ""SOCS1"", ""IGF2"", ""ZBTB16"", ""HLA-DMA"", ""DHPS"", ""IL15"", ""SELE"", ""XBP1"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.889453621,1,0.029919567,-0.169070456,-0.844279421,323,"c(""ACTN4"", ""EFNB3"", ""IL7R"", ""CORO2B"", ""ABAT"", ""MACF1"", ""HSD17B12"", ""SOX13"", ""CASP3"", ""CDC42"", ""SMAD7"", ""VCL"", ""MAPK14"", ""LAMA3"", ""FOXJ1"", ""LIMS1"", ""ZBTB1"", ""PTPN23"", ""EPHA4"", ""CELSR2"", ""ALOX12"", ""CD81"", ""SPOCK2"", ""IL4"", ""CELA2A"", ""FUT1"", ""ZMIZ1"", ""PTAFR"", ""ARHGDIB"", ""FLNA"", ""CSPG5"", ""SOX4"", ""LAMA5"", ""PRKCZ"", ""ABL1"", ""HLA-E"", ""AP3D1"", ""CSK"", ""MAP2K5"", ""PKD1"", ""DOCK5"", ""EFEMP2"", ""SRC"", ""SH2B3"", ""BMP4"", ""IL12B"", ""TFE3"", ""ACTG1"", ""PRLR"", ""EPHB3"", ""HAS2"", ""HYAL1"", ""ARL2"", ""RHOD"", ""CD5"", ""ST3GAL4"", ""LEF1"", 
""FXYD5"", ""DOCK8"", ""ROCK2"", ""SMAD3"", ""NOTCH4"", ""PLXND1"", ""ITGB1BP1"", ""CDSN"", ""AJAP1"", ""LGALS9"", ""FGA"", ""MAD2L2"", ""FUT3"", ""CYTH1"", ""CITED2"", ""JAK3"", ""LDB1"", ""PIEZO1"", ""SERPINE1"", ""CLEC4G"", ""PLXNA2"", ""DLG5"", ""CD86"", ""DDR1"", ""PLXNB1"", ""SLC7A1"", ""AZU1"", ""FADD"", ""NRARP"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.936813187,1,0.031205297,-0.168409509,-0.788896018,188,"c(""EFNB3"", ""IL7R"", ""ABAT"", ""SOX13"", ""CASP3"", ""SMAD7"", ""MAPK14"", ""FOXJ1"", ""ZBTB1"", ""PTPN23"", ""CELSR2"", ""ALOX12"", ""CD81"", ""IL4"", ""CELA2A"", ""ZMIZ1"", ""PTAFR"", ""SOX4"", ""PRKCZ"", ""ABL1"", ""HLA-E"", ""AP3D1"", ""CSK"", ""MAP2K5"", ""SRC"", ""SH2B3"", ""BMP4"", ""IL12B"", ""EPHB3"", ""HAS2"", ""CD5"", ""ST3GAL4"", ""LEF1"", ""FXYD5"", ""DOCK8"", ""NOTCH4"", ""CDSN"", ""LGALS9"", ""FGA"", ""MAD2L2"", ""FUT3"", ""CITED2"", ""JAK3"", ""PIEZO1"", ""CLEC4G"", ""DLG5"", ""CD86"", ""SLC7A1"", ""FADD"", ""NRARP"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.006218155,0.879340828,0.407017919,-0.261346811,-1.335061699,420,"c(""MYH9"", ""ACTN4"", ""NECTIN2"", ""CDH3"", ""ARF1"", ""MPRIP"", ""CORO2B"", ""CADM4"", ""ARPC3"", ""AQP7"", ""LDB3"", ""TSPAN4"", ""LIMD1"", ""CLDN7"", ""NPHP4"", ""ACTN1"", ""FGFR4"", ""PCBP2"", ""CLDN20"", ""RPS3A"", ""BCAR1"", ""PANX3"", ""WDR1"", ""EFS"", ""RPS8"", ""CDC42"", ""PAK4"", ""SMAD7"", ""LSR"", ""VCL"", ""PPFIA1"", ""FXYD1"", ""RPLP1"", ""TSPAN9"", ""TLN2"", ""TJP3"", ""PLEC"", ""ADD3"", ""PPL"", ""CCDC85C"", ""MAPK1"", ""LIMS1"", ""BAIAP2"", ""EPPK1"", ""TJP2"", ""PLEKHG5"", ""RPS10"", ""RPL12"", ""EPHA4"", ""RASIP1"", ""CD81"", ""RPL22"", ""CRB2"", ""CTNNA1"", ""VASP"", ""CFL1"", ""TRAF4"", 
""ARHGAP17"", ""FLNA"", ""CLDN1"", ""REXO2"", ""PRKCZ"", ""RPL8"", ""PDLIM7"", ""SYNM"", ""CSK"", ""LIN7B"", ""CAPN1"", ""SLC4A2"", ""SPECC1L"", ""CD99"", ""HACD3"", ""MAP2K2"", ""CLDN25"", ""SRC"", ""RPS18"", ""CLTC"", ""ACTG1"", ""SGSM3"", ""FGFRL1"", ""ITGB4"", ""FLII"", ""ASAP3"", ""PKP1"", ""ARL2"", ""CLDN19"", ""ARPC5L"", ""AJUBA"", ""FLNB"", ""RPL30"", ""DIXDC1"", ""PARK7"", ""RPL7A"", ""ITGB1BP1"", ""ITGB7"", ""CDSN"", ""AJAP1"", ""UBN1"", ""CYTH1"", ""HPN"", ""GJC1"", ""EVL"", ""RPS13"", ""L1CAM"", ""GRB2"", ""SYNE2"", ""CTNNB1"", ""SCN1B"", ""RPS19"", ""EZR"", ""SRP68"", ""PDIA3"", ""CDH22"", ""CAV3""
)"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.010910999,0.889622682,0.380730401,-0.284662338,-1.378449587,245,"c(""MYH9"", ""ACTN4"", ""NECTIN2"", ""ARF1"", ""MPRIP"", ""CORO2B"", ""ARPC3"", ""TSPAN4"", ""LIMD1"", ""ACTN1"", ""PCBP2"", ""RPS3A"", ""BCAR1"", ""EFS"", ""RPS8"", ""CDC42"", ""PAK4"", ""VCL"", ""PPFIA1"", ""RPLP1"", ""TSPAN9"", ""TLN2"", ""PLEC"", ""MAPK1"", ""LIMS1"", ""EPPK1"", ""RPS10"", ""RPL12"", ""CD81"", ""RPL22"", ""CTNNA1"", ""VASP"", ""CFL1"", ""FLNA"", ""REXO2"", ""RPL8"", ""PDLIM7"", ""CAPN1"", ""SLC4A2"", ""CD99"", ""HACD3"", ""MAP2K2"", ""SRC"", ""RPS18"", ""CLTC"", ""ACTG1"", ""ITGB4"", ""FLII"", ""ASAP3"", ""ARL2"", ""ARPC5L"", ""AJUBA"", ""FLNB"", ""RPL30"", ""DIXDC1"", ""RPL7A"", ""ITGB1BP1"", 
""ITGB7"", ""EVL"", ""RPS13"", ""L1CAM"", ""SYNE2"", ""CTNNB1"", ""RPS19"", ""EZR"", ""SRP68"", ""PDIA3"", ""CAV3"", ""ITGB8"", ""RPL13A"", ""TLN1"", ""AHNAK"", ""TGM2"", ""RPS11"", ""FZD2"", ""PDPK1"", ""YWHAG"", ""TRIOBP"", ""LIMS2"", ""CD151"", ""ADD1"", ""ITGA11"", ""CAPN2"", ""RSU1"", ""GJA1"", ""LASP1"", ""PXN"", ""MRC2"", ""MAP4K4"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.553097345,0.99891216,0.120985142,0.178676075,0.973323509,297,"c(""GREM1"", ""FUT4"", ""CD22"", ""FOLR3"", ""IL1R1"", ""LRFN4"", ""AQP4"", ""BTN2A2"", ""LRRC32"", ""CD8A"", ""CX3CL1"", ""MFGE8"", ""SORT1"", ""INTU"", ""CXCR4"", ""ACVR2A"", ""SDC2"", ""LRP8"", ""ABCA7"", ""MET"", ""VAMP3"", ""RAET1G"", ""KRT4"", ""MOG"", ""PRNP"", ""MSLN"", ""KLRC2"", ""ITGAD"", ""CEACAM8"", ""CD27"", ""PLAU"", ""IL12RB2"", ""CEACAM1"", ""RTN4RL1"", ""HNRNPU"", ""B2M"", ""HMGB1"", ""SLC7A11"", ""SPA17"", ""PAM"", ""FASLG"", ""F2"", ""HSPA5"", ""F3"", ""CTSK"", ""INSR"", ""LEPR"", ""PLAT"", ""ATP1B2"", ""ADGRA3"", ""NTRK1"", ""ADAMTS13"", ""FGFR3"", ""SLAMF7"", ""SLC1A1"", ""TNFSF4"", ""TRPV2"", 
""KCNH2"", ""PDGFC"", ""GPR37"", ""ERP29"", ""ADAM17"", ""ADAM8"", ""CCR3"", ""FOLR1"", ""LAMP1"", ""IGLL1"", ""TGFBR3L"", ""TNFRSF10D"", ""IGSF21"", ""TNFRSF4"", ""SPARC"", ""NOD2"", ""PLXNB2"", ""IGSF3"", ""PDGFRA"", ""ACKR2"", ""VEGFA"", ""KCNA1"", ""ADAM10"", ""BGN"", ""KCNA5"", ""CTSB"", ""HLA-G"", ""CD163L1"", ""VTCN1"", ""CEACAM6"", ""CD5L"", ""IDE"", ""HLA-DPB1"")"
Adhesion,GOCC_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE,GO:0031226,"The component of the plasma membrane consisting of the gene products and protein complexes having either part of their peptide sequence embedded in the hydrophobic region of the membrane or some other covalently attached group such as a GPI anchor that is similarly embedded in the membrane. [GOC:dos, GOC:mah]",GO:0031226,"The component of the plasma membrane consisting of the gene products and protein complexes having either part of their peptide sequence embedded in the hydrophobic region of the membrane or some other covalently attached group such as a GPI anchor that is similarly embedded in the membrane. [GOC:dos, GOC:mah]",0.881670534,1,0.025692748,-0.167633388,-0.882393847,631,"c(""GPR17"", ""GPRC5C"", ""CALM3"", ""FCAR"", ""EFNB3"", ""ITGA10"", ""NMUR1"", ""NRN1L"", ""KCNJ1"", ""SLC23A2"", ""CLCN2"", ""AQP7"", ""SLC12A4"", ""PRND"", ""TSPAN4"", ""UPK1A"", ""TSPAN14"", ""IL9R"", ""ADCY9"", ""FGFR4"", ""SLC2A10"", ""PTGER1"", ""CACNA1G"", ""AQP1"", ""FXYD1"", ""TSPAN9"", ""CANX"", ""STRA6"", ""CNTN2"", ""KCNB1"", ""PTGER2"", ""SEMA3F"", ""SLC20A2"", ""KCNJ11"", ""C8G"", ""ITGAL"", ""MS4A2"", ""EPHA4"", ""NPY5R"", ""P2RX4"", ""CD81"", ""RAB26"", ""BSND"", ""RDH8"", ""TM7SF2"", ""TMC3"", ""TSPAN16"", ""FUT1"", ""PTAFR"", ""ESYT2"", ""KCNA7"", ""MCHR1"", ""TSPAN15"", ""CHRNB1"", 
""CD72"", ""CSPG5"", ""CLDN1"", ""TBXA2R"", ""TRPV5"", ""IL20RA"", ""NLGN4Y"", ""KTN1"", ""CD63"", ""MMP24"", ""ADRA2A"", ""EPHB6"", ""CD99"", ""ATP2A2"", ""IRS1"", ""PKD1"", ""FCRLB"", ""TMEM130"", ""CCR10"", ""CLCN4"", ""SLC7A10"", ""ATP2B4"", ""PTPRS"", ""CXCR2"", ""GP1BB"", ""SLC22A3"", ""SLC22A2"", ""TRAF3"", ""TSPAN1"", ""NOXO1"", ""TMEM150A"", ""SLC26A9"", ""ADRB2"", ""RHBDL1"", ""LRRC8A"", ""ECEL1"", ""TMPRSS11B"", ""EPHB3"", ""NTRK2"", ""HAS2"", ""SLC22A17"", ""SEMA7A"", ""PRRT2"", ""ITGB4"", ""CACNA1H"", ""IGSF6"", ""CHRM2"", ""MUC12"", ""FXYD3"", ""MTNR1A"", ""IYD"", ""TMBIM6"", ""SEMA6B"", 
""GPR68"", ""CD5"", ""AMHR2"", ""CCDC25"", ""SLC16A3"", ""SLC2A5"", ""SLC13A4"", ""KLRC1"", ""ACKR4"", ""CD69"", ""KCNJ6"", ""PLPPR3"", ""IGDCC3"", ""TSPAN31"", ""SLC28A3"", ""SLC40A1"", ""SLC30A1"", ""KCNMB3"", ""NOTCH4"", ""PLXND1"", ""SLC26A5"", ""ITGB7"", ""AJAP1"", ""DIABLO"", ""HPN"", ""SLC22A4"", ""HS6ST1"", ""NTSR1"", ""LYVE1"", ""HVCN1"", ""MERTK"", ""RHCE"", ""FCER2"", ""CSF1R"", ""SCN1B"", ""CAV3"", ""CLEC4G"", ""PLXNA2"", ""RAMP1"", ""BCAM"", ""SLC39A12"", ""DDR1"", ""PLXNB1"", ""SLC7A1"", ""ADIPOR2"", ""ITGB8"", ""SEMA4G"", ""TSPAN17"", ""CHUK"", ""SLC6A9"", ""ROM1"", ""BACE1"", ""SLC5A3"", 
""SHISA9"", ""CHRNA2"", ""TGFBR2"", ""ANKH"", ""TGM2"")"
Adhesion,GOBP_CELL_MATRIX_ADHESION,GO:0007160,The binding of a cell to the extracellular matrix via adhesion molecules. [GOC:hb],GO:0007160,The binding of a cell to the extracellular matrix via adhesion molecules. [GOC:hb],0.376488095,0.99891216,0.078502905,-0.242587086,-1.049175074,107,"c(""ITGA10"", ""CORO2B"", ""BCR"", ""ACTN1"", ""MACF1"", ""VCL"", ""PPFIA1"", ""LIMS1"", ""ITGAL"", ""FUT1"", ""FBLN5"", ""PRKCZ"", ""ABL1"", ""CD63"", ""PKD1"", ""ADAMTS9"", ""EFEMP2"", ""SRC"", ""ACTG1"", ""TMEM8B"", ""ITGB4"", ""RHOD"", ""AJUBA"", ""TAOK2"", ""ROCK2"", ""SMAD3"", ""ITGB1BP1"", ""ITGB7"", ""AJAP1"", ""FGA"", ""L1CAM"", ""LDB1"", ""LYVE1"", ""CTNNB1"", ""SERPINE1"", ""BCAM"", ""DDR1"", ""ITGB8"")"
Adhesion,GOBP_CELL_SUBSTRATE_ADHESION,GO:0031589,"The attachment of a cell to the underlying substrate via adhesion molecules. [GOC:mah, GOC:pf]",GO:0031589,"The attachment of a cell to the underlying substrate via adhesion molecules. [GOC:mah, GOC:pf]",0.51510989,0.99891216,0.058969447,-0.210420379,-0.97540747,173,"c(""ACTN4"", ""ITGA10"", ""CORO2B"", ""BCR"", ""ACTN1"", ""MACF1"", ""HSD17B12"", ""CDC42"", ""VCL"", ""PPFIA1"", ""LIMS1"", ""ITGAL"", ""SPOCK2"", ""SMAD6"", ""FUT1"", ""FBLN5"", ""FLNA"", ""CSPG5"", ""LAMA5"", ""PRKCZ"", ""ABL1"", ""CD63"", ""PKD1"", ""ADAMTS9"", ""DOCK5"", ""EFEMP2"", ""SRC"", ""ACTG1"", ""EPHB3"", ""TMEM8B"", ""HAS2"", ""ITGB4"", ""ARL2"", ""RHOD"", ""AJUBA"", ""TAOK2"", ""ROCK2"", ""SMAD3"", ""ITGB1BP1"", ""ITGB7"", ""AJAP1"", ""FGA"", ""GAS6"", ""L1CAM"", ""LDB1"", ""LYVE1"", ""MERTK"", ""CTNNB1"", ""SERPINE1"", ""BCAM"", ""DDR1"", ""ITGB8"", ""KANK1"", ""EMP2"", ""CDK5"", ""CDKN2A"", 
""TRIOBP"", ""LIMS2"", ""C1QBP"", ""ITGA11"", ""RSU1"", ""PXN"", ""MAP4K4"", ""APOA1"", ""PLEKHA2"", ""DAG1"", ""ITGA2B"", ""VWF"")"
Adhesion,GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,GO:0045229,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of external structures that lie outside the plasma membrane and surround the entire cell. [GOC:ai, GOC:dph, GOC:jl, GOC:mah]",GO:0045229,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of external structures that lie outside the plasma membrane and surround the entire cell. [GOC:ai, GOC:dph, GOC:jl, GOC:mah]",0.650289017,0.99891216,0.050498304,-0.209513245,-0.927652827,128,"c(""PHLDB1"", ""KLK5"", ""MMP17"", ""ADAMTS17"", ""COL23A1"", ""HSD17B12"", ""FGFR4"", ""SLC2A10"", ""LOXL1"", ""DNAJB6"", ""P4HA1"", ""OPTC"", ""SPOCK2"", ""FBLN5"", ""ELN"", ""ABL1"", ""MMP24"", ""AGT"", ""ADAMTS9"", ""EFEMP2"", ""NOXO1"", ""HAS2"", ""COL5A1"", ""SMPD3"", ""CHADL"", ""FMOD"", ""CTSS"", ""SMAD3"", ""HPN"", ""GAS6"", ""FOXF2"", ""COL11A2"", ""ADAMTSL3"", ""MYH11"", ""DDR1"", ""ERO1A"")"
Adhesion,GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION,GO:0010810,"Any process that modulates the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules. [GOC:dph, GOC:pf, GOC:tb]",GO:0010810,"Any process that modulates the frequency, rate or extent of cell-substrate adhesion. Cell-substrate adhesion is the attachment of a cell to the underlying substrate via adhesion molecules. [GOC:dph, GOC:pf, GOC:tb]",0.793814433,0.99891216,0.042246819,-0.194385607,-0.837077862,104,"c(""ACTN4"", ""CORO2B"", ""MACF1"", ""HSD17B12"", ""CDC42"", ""VCL"", ""LIMS1"", ""SPOCK2"", ""FUT1"", ""FLNA"", ""CSPG5"", ""PRKCZ"", ""ABL1"", ""DOCK5"", ""EFEMP2"", ""SRC"", ""ACTG1"", ""HAS2"", ""ARL2"", ""ROCK2"", ""SMAD3"", ""ITGB1BP1"", ""AJAP1"", ""FGA"", ""LDB1"", ""SERPINE1"", ""DDR1"", ""KANK1"", ""EMP2"", ""CDKN2A"", ""TRIOBP"", ""LIMS2"", ""C1QBP"", ""RSU1"", ""MAP4K4"", ""APOA1"", ""PLEKHA2"", ""DAG1"")"
Adhesion,GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX,GO:0062023,"An extracellular matrix consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that provides not only essential physical scaffolding for the cellular constituents but can also initiate crucial biochemical and biomechanical cues required for tissue morphogenesis, differentiation and homeostasis. The components are secreted by cells in the vicinity and form a sheet underlying or overlying cells such as endothelial and epithelial cells. [GOC:BHF, GOC:rph, PMID:21123617]",GO:0062023,"An extracellular matrix consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that provides not only essential physical scaffolding for the cellular constituents but can also initiate crucial biochemical and biomechanical cues required for tissue morphogenesis, differentiation and homeostasis. The components are secreted by cells in the vicinity and form a sheet underlying or overlying cells such as endothelial and epithelial cells. [GOC:BHF, GOC:rph, PMID:21123617]",0.993084371,1,0.028644957,-0.151097973,-0.693934781,163,"c(""LGALS3BP"", ""COL23A1"", ""LOXL1"", ""F9"", ""LAMA3"", ""IGFBP7"", ""LMAN1L"", ""CSTB"", ""FBLN5"", ""ELN"", ""ANGPTL6"", ""LAMA5"", ""CTSD"", ""ANXA4"", ""SPARCL1"", ""AGT"", ""ADAMTS9"", ""EFEMP2"", ""MXRA7"", ""AGRN"", ""ANGPTL5"", ""SEMA7A"", ""PSAP"", ""CTSZ"", ""ITGB4"", ""COL5A1"", ""ANG"", ""ANXA11"", ""CHADL"", ""NTN1"", ""FMOD"", ""CTSS"", ""LTBP2"", ""LGALS9"", ""FGA"", ""MST1"", ""L1CAM"", ""COL11A2"", ""PKM"", ""SERPINE1"", ""BCAM"")"
Adhesion,GOCC_COLLAGEN_TRIMER,GO:0005581,"A protein complex consisting of three collagen chains assembled into a left-handed triple helix. These trimers typically assemble into higher order structures. [GOC:dos, GOC:mah, ISBN:0721639976, PMID:19693541, PMID:21421911]",GO:0005581,"A protein complex consisting of three collagen chains assembled into a left-handed triple helix. These trimers typically assemble into higher order structures. [GOC:dos, GOC:mah, ISBN:0721639976, PMID:19693541, PMID:21421911]",0.995037221,1,0.055826472,0.15809832,0.558531271,29,"c(""C1QTNF2"", ""COL1A1"", ""C1QTNF7"", ""COL26A1"", ""COL18A1"", ""C1QTNF9"", ""C1QTNF3"", ""C1QTNF1"", ""LUM"", ""COL27A1"", ""ADIPOQ"", ""COL6A1"")"
