gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
JUND,1.892403161,5.471629859,7.37873381,1.70629681048432e-10,1.01348722804765e-06,13.39760673,Development (apoptosis)
SPRY1,1.836995701,5.462942955,7.2677345,2.76984757597062e-10,1.01348722804765e-06,12.95666027,NA
FZD8,1.814583124,5.8302277,7.147034565,4.68506332522992e-10,1.05636253999443e-06,12.56069429,Development (differentiation)
SLC32A1,-3.110948739,4.928628338,-7.098950744,5.7740505055722e-10,1.05636253999443e-06,11.18444096,Transport
ZIC4,1.455369047,6.814386713,7.023058649,8.02654419812019e-10,1.17476500883687e-06,12.14979666,NA
ING1,1.413605503,6.519682012,6.602476721,4.91899587346523e-09,5.99953530033643e-06,10.42657381,NA
SSBP4,1.345133746,6.962989331,6.359566017,1.38551006210487e-08,1.4484518049262e-05,9.46546374,NA
ITPKB,0.907527649,8.804395112,6.201182808,2.70697120619642e-08,2.47620191086818e-05,8.755715386,NA
KLHL21,1.267220812,6.956520353,6.123135423,3.75892956934322e-08,2.86803297854888e-05,8.519428159,Metabolism (other)
MEGF6,-0.916915595,8.983716911,-6.105935306,4.04032012180083e-08,2.86803297854888e-05,8.385174265,NA
INPP5A,-0.695555965,9.564636595,-6.090469258,4.31106350970726e-08,2.86803297854888e-05,8.237341225,Metabolism (other)
KCNB1,-0.862048284,8.806939631,-5.970978957,7.10373986722772e-08,4.33209736236437e-05,7.852842585,Transport
SOX12,1.467930962,5.961227396,5.909111888,9.1889400327038e-08,5.17266639687126e-05,7.637216893,Development (differentiation)
SRGAP3,-0.667324317,9.913824533,-5.877855529,1.04615613991441e-07,5.46840759420973e-05,7.330902429,NA
ING2,1.67816611,5.62426322,5.844782316,1.19976546810943e-07,5.8532557970832e-05,7.375123326,NA
ENPP2,1.004698729,7.856033833,5.750862071,1.76788349411714e-07,8.08585713121826e-05,7.035564548,Metabolism (other)
HSPB11,1.316696955,6.224009416,5.727349156,1.94740984273501e-07,8.3830266053734e-05,6.95746711,Metabolism (other)
ARL3,1.096531327,6.762224574,5.640641628,2.7786590337236e-07,0.000112968,6.630242919,NA
CKB,1.710572917,5.013000901,5.602963325,3.24085406032408e-07,0.000122381,6.384949313,NA
AKT1S1,1.273102632,6.408810934,5.595232374,3.34465087158649e-07,0.000122381,6.454467731,Metabolism (other)
SFR1,1.476988802,5.290259598,5.579335782,3.56846763514876e-07,0.000124353,6.326358676,NA
RPL7,1.426816294,5.807147128,5.550319994,4.01562919441822e-07,0.000129116,6.260881995,NA
EFS,1.360068254,5.807041388,5.540096499,4.1859642145521e-07,0.000129116,6.226012965,NA
TSSC1,-0.79024464,8.917035269,-5.537259295,4.23448205036222e-07,0.000129116,6.123155258,NA
DOK7,1.061258528,7.650037418,5.523086459,4.48525133383931e-07,0.000129775,6.157019601,Development (differentiation)
MFRP,1.270598521,6.159097673,5.516283186,4.61075901639279e-07,0.000129775,6.147645936,NA
LIPC,-0.888884973,8.469656824,-5.499916827,4.92700812482273e-07,0.000130156,6.025003607,Metabolism or Transport (lipid)
SOWAHC,1.495141374,5.889968097,5.49337535,5.05929220187872e-07,0.000130156,6.048791277,NA
CCDC9,1.241681144,6.426994734,5.488610297,5.15784497700227e-07,0.000130156,6.048763099,NA
CALM1,1.543850703,5.470169106,5.433797962,6.43648362595835e-07,0.000157007,5.807583969,Transport
PDK4,1.409482069,6.024740268,5.41864745,6.84177394484451e-07,0.000157906,5.777072523,NA
F3,1.300869185,5.929966563,5.416367634,6.90489282040182e-07,0.000157906,5.763617699,NA
CDYL2,-0.834164356,8.804434894,-5.38961653,7.68963801420869e-07,0.000168106,5.564856402,NA
PARD6B,1.131371996,6.51262879,5.385741416,7.8103488303235e-07,0.000168106,5.660366456,Matrisome/cell adhesion/binding/signaling
TOB1,1.434307763,5.89087473,5.374533633,8.17004560650032e-07,0.000170824,5.606673291,Development (apoptosis)
LEPROT,1.252812038,6.088858397,5.35233284,8.93122205094909e-07,0.000177604,5.529856143,NA
FZD5,1.271089009,5.935832128,5.350982725,8.97969387348858e-07,0.000177604,5.522347604,Development (differentiation)
FADS1,1.122030149,6.895795361,5.343518706,9.25236369814066e-07,0.000178181,5.496452995,Metabolism or Transport (lipid)
FSIP1,-0.816840904,8.537243548,-5.295454346,1.12133872802103e-06,0.000210409,5.229218908,NA
CUEDC1,0.759177186,8.553972628,5.27436331,1.21976228011057e-06,0.000221686,5.102309556,NA
FOXA2,-2.022261542,4.941406993,-5.269824709,1.24202478124727e-06,0.000221686,4.864979326,Development (differentiation)
FOXA2,-2.022261542,4.941406993,-5.269824709,1.24202478124727e-06,0.000221686,4.864979326,Metabolism (other)
VEGFA,1.128512717,6.476759221,5.255056468,1.31725872403844e-06,0.000222824,5.171409894,Development (differentiation)
PTMA,1.202700193,6.234143774,5.252055772,1.33308262541788e-06,0.000222824,5.160318871,NA
FRMD4B,-0.673989037,9.520687088,-5.250802835,1.33974490236174e-06,0.000222824,4.913056274,NA
APOBEC3F,-2.078760087,4.911627592,-5.237070589,1.41493779941899e-06,0.0002301,4.730166865,NA
AJAP1,-0.841872188,8.592014388,-5.219628046,1.51643441770134e-06,0.000241245,4.937018173,Matrisome/cell adhesion/binding/signaling
ZIC5,1.346605452,5.829569661,5.197575867,1.65501529076958e-06,0.000257689,4.949907164,Development (differentiation)
ANO10,-0.705312185,9.159421236,-5.174820475,1.8110140451721e-06,0.000272037,4.691363338,NA
VMAC,1.269892451,5.83179215,5.172312865,1.82906190673444e-06,0.000272037,4.860195734,NA
PEBP4,-0.656186176,9.594788839,-5.168248806,1.85868676592625e-06,0.000272037,4.580640768,NA
MARCH11,-0.866468352,8.166223622,-5.162043383,1.90482999033339e-06,0.000273324,4.761699954,NA
AC104532.2,1.268530942,6.038224861,5.154057675,1.96586539396328e-06,0.000274473,4.797654266,NA
GAS1,1.460525234,5.270424038,5.151241197,1.98784561426792e-06,0.000274473,4.756791854,NA
ISYNA1,1.232286564,6.004351785,5.116954069,2.27551241995024e-06,0.000305138,4.662303596,NA
PNRC1,1.4831463,5.348926612,5.114972212,2.29333193809822e-06,0.000305138,4.632926293,NA
ISCA2,1.447353075,5.177900571,5.077472698,2.65743065034468e-06,0.000341234,4.479841154,NA
TUSC1,1.542692957,5.256862278,5.073734586,2.69668498919893e-06,0.000341234,4.482856737,NA
TUBA1B,1.602060055,5.186975191,5.070870567,2.72714371015859e-06,0.000341234,4.464648702,Transport
OCA2,-0.59530484,9.891111,-5.068636856,2.75113253609725e-06,0.000341234,4.15048475,Metabolism (other)
METTL2A,-1.87641103,5.376778078,-5.05939252,2.85262578322088e-06,0.000347925,4.219706431,NA
KLF10,1.157013565,5.921468662,5.050909251,2.94898068018061e-06,0.000353781,4.420029192,NA
SIX5,1.213880701,6.422037469,4.985011625,3.8140161401926e-06,0.00044411,4.181793649,Development (differentiation)
MLF2,1.117179226,6.879749293,4.984386952,3.82330029274689e-06,0.00044411,4.16501978,NA
NAB2,1.305843935,5.675159588,4.974533451,3.9727026172927e-06,0.000454174,4.141458247,NA
ZNF395,0.927396302,7.547866068,4.970590764,4.03406804185608e-06,0.000454174,4.082765406,NA
AC129492.1,1.584515209,4.65696651,4.965573299,4.11350240762828e-06,0.0004561,4.045765411,NA
TTR,1.297378442,5.77572663,4.949721315,4.37463712103735e-06,0.000476573,4.053652114,NA
SLC19A1,0.878140291,7.976761833,4.946573271,4.4283902137601e-06,0.000476573,3.948468131,Transport
CREB3L2,0.700504368,8.616431255,4.937952115,4.57892137604637e-06,0.000485631,3.823792141,NA
FOXJ1,1.297432063,5.754217342,4.927940458,4.7600093518174e-06,0.000497625,3.977435462,Development (differentiation)
GABARAPL1,1.187510973,6.119207421,4.888474157,5.54447465268322e-06,0.000559426,3.836958461,NA
FBRS,1.080998998,6.309807009,4.885649428,5.6052256994966e-06,0.000559426,3.825511916,NA
USP2,1.108637886,7.104665287,4.884427751,5.63170094894519e-06,0.000559426,3.791447089,Metabolism (other)
ARHGAP26,-0.523202169,10.04171876,-4.883267957,5.65694802338811e-06,0.000559426,3.439269719,NA
OSM,-1.878115739,5.116256877,-4.878179128,5.76903642162804e-06,0.000562904,3.587267556,NA
PTMS,1.288350507,6.042341666,4.873541832,5.87306473002847e-06,0.000565514,3.784691933,NA
MYO9A,-0.780711644,8.611231351,-4.845455123,6.5433792951848e-06,0.000621876,3.535920219,NA
TLCD1,1.401895372,5.34031855,4.829688036,6.95179597870606e-06,0.000652221,3.620003853,NA
SLC13A4,0.923881071,7.291047089,4.824074597,7.10311930291857e-06,0.000657983,3.565529736,Transport
PIPOX,-0.751194815,8.499612917,-4.819557995,7.22720240979806e-06,0.000659877,3.452371419,Metabolism (other)
KLF17,-1.906059154,4.809689181,-4.816803433,7.30391248882259e-06,0.000659877,3.335322435,NA
TRERF1,-0.639995294,8.988230843,-4.800562903,7.77258588327459e-06,0.000693656,3.311984471,NA
RP11-637O19.3,-0.67247013,8.714555954,-4.789016824,8.12348483985891e-06,0.000716237,3.310668692,NA
DEFB1,-2.017515271,4.936814113,-4.773098829,8.63267376888891e-06,0.00075207,3.198105416,NA
TTC39C,-0.728158844,8.374428212,-4.757771893,9.15227676634437e-06,0.000787957,3.242643922,NA
PCNA,1.191782595,6.166544009,4.75269416,9.33104418994263e-06,0.000791874,3.35579437,NA
CHD6,-0.665876808,8.894778032,-4.750364683,9.41418990097485e-06,0.000791874,3.143812597,NA
TYW1B,-0.666957074,8.719389294,-4.734352353,1.00055655485624e-05,0.000832054,3.111406544,NA
ID2,1.291367621,5.746823943,4.716183502,1.07204431476818e-05,0.000874157,3.231070443,NA
CABIN1,-0.63977623,8.990301923,-4.715124815,1.07635976615194e-05,0.000874157,2.997274827,NA
PPP1R3E,1.269579811,5.993860955,4.708733705,1.10277285403475e-05,0.000874157,3.203661213,Metabolism (other)
SHROOM2,-0.661379776,8.968823608,-4.708101361,1.10542023934947e-05,0.000874157,2.976108554,Development (differentiation)
PPP1R1B,1.243781311,5.76192482,4.704017098,1.12266914272246e-05,0.000874157,3.188797537,Metabolism (other)
PARVB,-0.695688901,8.835332209,-4.702728755,1.12816430275127e-05,0.000874157,2.988707764,NA
PLXDC2,-0.535845027,9.814301226,-4.700527727,1.13761295639508e-05,0.000874157,2.805723575,NA
NR2F2,1.164440076,6.129457174,4.698416532,1.14674832168374e-05,0.000874157,3.166879406,Development (differentiation)
DUSP6,1.241806522,5.66108845,4.691339741,1.17789412829524e-05,0.000881727,3.144252593,NA
ZFP36L2,1.193222504,5.712471652,4.690694001,1.18077675184171e-05,0.000881727,3.14222774,NA
C1QTNF5,1.232973119,5.632822334,4.682397829,1.2184276167446e-05,0.000897271,3.112965918,Metabolism or Transport (lipid)
SIAH2,1.078120526,6.253276764,4.680734722,1.22611470044532e-05,0.000897271,3.099784297,NA
TSPAN9,-0.553279102,9.490822587,-4.671090575,1.2716301038974e-05,0.000921365,2.732578568,Matrisome/cell adhesion/binding/signaling
TSPAN9,-0.553279102,9.490822587,-4.671090575,1.2716301038974e-05,0.000921365,2.732578568,Motility
PPP5D1,-0.769967086,8.159709867,-4.65423852,1.35513899622267e-05,0.000970082,2.892251726,NA
CISD1,1.092416629,6.067793971,4.652242018,1.36537903603092e-05,0.000970082,3.006974248,NA
RBM15,1.248312547,5.677362795,4.645060098,1.40284103722696e-05,0.000987114,2.984262861,NA
AQP2,-1.894942138,4.954292588,-4.630769301,1.48038032013536e-05,0.001027656,2.755098255,Transport
PRMT6,1.47916637,4.913245896,4.629307501,1.48854278735855e-05,0.001027656,2.912705403,Metabolism (other)
CLIC6,0.98525176,7.26724499,4.623347846,1.52227575758171e-05,0.001041123,2.850487664,Transport
NOTO,-1.895273373,4.98722098,-4.619293492,1.54564781560284e-05,0.00104732,2.712905881,Development (differentiation)
NHS,-0.588027355,9.413289048,-4.610951253,1.5948405235433e-05,0.001070738,2.55427942,NA
TACC2,-0.5794817,9.419687722,-4.605583507,1.62729419072585e-05,0.001082594,2.530215947,NA
PANO1,1.400476827,5.20605624,4.60153832,1.65217477885117e-05,0.001089245,2.829489831,NA
ANKRD37,1.275076439,5.389041842,4.598480937,1.67122461885902e-05,0.001091966,2.822432092,NA
ANHX,-1.637693163,5.812603051,-4.59309308,1.70531582706565e-05,0.001101636,2.741074366,NA
TTC7B,-0.523234339,9.656883817,-4.591405665,1.7161310695208e-05,0.001101636,2.417076102,NA
VASN,1.061712185,6.35707014,4.587993524,1.73820470261059e-05,0.001106103,2.770972446,NA
FOXA1,-1.924630045,4.803064538,-4.581789954,1.77904519447067e-05,0.001122332,2.579281361,Development (differentiation)
FOXA1,-1.924630045,4.803064538,-4.581789954,1.77904519447067e-05,0.001122332,2.579281361,Metabolism (other)
CLDN3,1.422517105,4.754142835,4.562720944,1.9105059290219e-05,0.001194964,2.682189405,Matrisome/cell adhesion/binding/signaling
CDC42EP4,1.079596056,6.522082922,4.554536589,1.96977875771154e-05,0.001221597,2.647265518,NA
ATOX1,0.89961254,7.058097997,4.550942914,1.99636553129153e-05,0.001227681,2.611201914,Metabolism (other)
BAMBI,1.181615814,5.826341818,4.534198869,2.12490484593294e-05,0.001295838,2.603375856,NA
SLC9A3R1,0.995546563,6.780752649,4.523987428,2.20720119276546e-05,0.001334901,2.53193845,Transport
COG5,-0.578750923,9.257710312,-4.520743706,2.23398447637971e-05,0.001337308,2.248877856,NA
NTRK2,-0.500111861,9.701452161,-4.51909368,2.24772942772861e-05,0.001337308,2.147857395,Development (differentiation)
TPD52L1,0.710175317,8.237411312,4.516832777,2.2666964098675e-05,0.001337716,2.374671342,NA
FHAD1,-0.757326915,8.504933856,-4.499944963,2.41336610651651e-05,0.001412881,2.309915067,NA
IL1F10,-1.70663749,4.806717246,-4.496315509,2.44606889640887e-05,0.001420661,2.325937104,Inflammation/Immune/Stress/Toxic/Detox
TMEM132C,-0.489479075,10.07677859,-4.491215774,2.49274675970299e-05,0.001436372,2.001876262,NA
ZIC1,0.689956816,8.342717044,4.479492245,2.60335160461099e-05,0.001488385,2.21648879,Development (differentiation)
AMBRA1,-0.636123673,8.72726586,-4.471867651,2.67782384747177e-05,0.001519094,2.169967562,NA
HDDC2,0.849690925,7.618834588,4.450081363,2.90218121637468e-05,0.001633705,2.218024829,NA
NREP,-0.601538454,9.384439694,-4.446675856,2.93885904429597e-05,0.001641723,1.961558162,NA
MGA,-0.728113305,8.038120411,-4.433180379,3.08867497876033e-05,0.001707285,2.133984161,NA
ZNF585A,-1.327431801,6.537420275,-4.429949906,3.12562013854587e-05,0.001707285,2.251177653,NA
PNN,1.208937178,5.549579839,4.429898478,3.12621173268025e-05,0.001707285,2.253861498,NA
EFCAB11,-0.703716893,8.320151908,-4.427089798,3.15868668756703e-05,0.001712242,2.070996458,NA
ATP6AP1L,-0.761016432,8.031399476,-4.424356679,3.1906016098392e-05,0.001716825,2.108378093,NA
GLIS1,-0.539337641,9.485679019,-4.404543567,3.4314845262354e-05,0.001832964,1.796591297,NA
AKTIP,1.084960817,6.166597095,4.401198607,3.47385264278942e-05,0.001842149,2.146434412,Metabolism (other)
ST6GALNAC2,1.154942469,6.27252445,4.397930609,3.5157349018068e-05,0.001842862,2.126946026,Metabolism or Transport (lipid)
RGS9BP,1.247964592,5.812051675,4.39428282,3.56306202614175e-05,0.001842862,2.132917565,NA
CITED2,1.15733158,5.513586349,4.393981513,3.56699871543941e-05,0.001842862,2.134246729,NA
SLC4A2,0.912118269,7.10703674,4.393299283,3.57592784307564e-05,0.001842862,2.060261283,Transport
CDCA3,1.245246358,5.897569088,4.383732317,3.70344450399639e-05,0.001888415,2.093550536,Development (cell cycle)
ABHD11,1.223892235,5.286796098,4.381426337,3.7348327590409e-05,0.001888415,2.092484089,Metabolism or Transport (lipid)
TRIM26,1.041486408,6.191419956,4.38092173,3.74173556562737e-05,0.001888415,2.071365049,NA
AK8,-0.713410121,8.264899208,-4.37367459,3.84224609060833e-05,0.001917415,1.896685818,NA
RP11-156P1.2,-0.882643896,7.673047533,-4.373009557,3.85159922638184e-05,0.001917415,1.994998324,NA
DLGAP4,-0.572575093,9.21055407,-4.36994071,3.89504627021602e-05,0.001925942,1.738837965,NA
MOV10L1,-1.009344579,7.219184681,-4.359681675,4.04375815014977e-05,0.001986055,1.999580553,NA
USP32,-0.647668078,8.603772496,-4.355859404,4.10055738768973e-05,0.002000525,1.786685509,Metabolism (other)
IGFBP5,0.872929724,6.810778489,4.349731462,4.193233321623e-05,0.002021104,1.923675563,Development (cell cycle)
IGFBP5,0.872929724,6.810778489,4.349731462,4.193233321623e-05,0.002021104,1.923675563,Development (differentiation)
GATSL3,1.243617419,5.60024506,4.348504049,4.21203815617389e-05,0.002021104,1.983897547,NA
THNSL1,1.175401427,5.572945611,4.347622566,4.22559341207363e-05,0.002021104,1.979704015,NA
SOX9,1.368627887,5.063859522,4.331989127,4.47312958162895e-05,0.002123358,1.929078969,Development (differentiation)
NFE2L1,0.964952786,6.588889562,4.330501017,4.49740987020197e-05,0.002123358,1.883497917,NA
FABP5,1.250151103,5.234462443,4.323476293,4.61375802737676e-05,0.002151676,1.90185414,Metabolism or Transport (lipid)
ZNF683,-1.756191989,5.049841702,-4.323330966,4.61619549028151e-05,0.002151676,1.802668163,NA
IGFBP7,0.750955019,7.974440486,4.31792774,4.70770890585925e-05,0.002180444,1.701213934,Development (cell cycle)
IGFBP7,0.750955019,7.974440486,4.31792774,4.70770890585925e-05,0.002180444,1.701213934,Development (differentiation)
EXT2,-0.699688975,8.403412273,-4.314126264,4.7731423213047e-05,0.00218548,1.675064915,NA
RBFOX2,-0.562727238,9.048155544,-4.313828161,4.77831045778031e-05,0.00218548,1.563678615,NA
ARHGEF4,-0.564116167,9.22182181,-4.311137669,4.82520036897987e-05,0.002193218,1.53057943,NA
PACRGL,-1.187552255,6.907676656,-4.308594945,4.86992360637662e-05,0.002199883,1.849757004,NA
PLPP5,1.250890372,5.203258545,4.29958336,5.03167480976248e-05,0.002228269,1.822999057,Metabolism or Transport (lipid)
VOPP1,-0.665008959,8.55426547,-4.299498595,5.0332206486078e-05,0.002228269,1.603851662,NA
GNAI2,0.813358604,7.174238042,4.299139954,5.03976620174386e-05,0.002228269,1.733902046,NA
C5orf30,1.07476798,6.33277267,4.298331089,5.05455901261017e-05,0.002228269,1.793869984,NA
SND1,-0.469803071,10.07990784,-4.295093065,5.11419842856742e-05,0.00224106,1.323552926,NA
DOCK9,-0.536166259,9.469404386,-4.286175236,5.28198772131125e-05,0.002300809,1.384117165,NA
HMGB2,1.291481986,5.363354513,4.283104081,5.34099348649525e-05,0.002312745,1.76978503,NA
VPS13C,-0.799290856,7.918428421,-4.275952723,5.48087011110908e-05,0.002358848,1.629059697,NA
SIX3,1.277953143,5.197723815,4.274388738,5.5119290003517e-05,0.002358848,1.741265651,Development (differentiation)
CCDC96,1.11805673,5.402681562,4.269708215,5.60589780300621e-05,0.002385114,1.726014417,NA
GAS7,-0.502522678,9.676407072,-4.265323832,5.69532342845185e-05,0.002409155,1.285275081,NA
TBC1D1,-0.524561189,9.303974448,-4.262336378,5.75704430389364e-05,0.002421267,1.33503824,Glucose
TBC1D1,-0.524561189,9.303974448,-4.262336378,5.75704430389364e-05,0.002421267,1.33503824,Transport
ANKRD66,-1.664214064,4.923384967,-4.258319054,5.84106145738536e-05,0.002442565,1.590454177,NA
ASH1L,-0.608818125,8.655749919,-4.250567616,6.00653145467404e-05,0.0024845,1.410523285,NA
RP11-111H13.1,-0.64197336,8.449884688,-4.250442277,6.00924389728761e-05,0.0024845,1.443999807,NA
CTNNA1,-0.496572512,9.431142789,-4.246481689,6.09556615910257e-05,0.002506031,1.255156992,NA
HNRNPA2B1,1.115324499,5.942963653,4.236623908,6.31564921353034e-05,0.002582007,1.606746125,NA
DIXDC1,0.736154882,7.758722433,4.234499047,6.36408343549779e-05,0.002587353,1.46261546,NA
SLC2A12,0.85540312,7.257881291,4.221495194,6.66839760980465e-05,0.002691532,1.471887818,Transport
CHPF,1.097087908,5.696895466,4.220432009,6.69388979895614e-05,0.002691532,1.561439919,NA
TESC,-0.867866635,7.757247869,-4.217786956,6.75771939263898e-05,0.002702349,1.444477657,NA
LAMA3,-0.563254235,9.277198968,-4.21560197,6.81088933988936e-05,0.00270277,1.195753465,Matrisome/cell adhesion/binding/signaling
ARL4A,1.070094677,5.615941071,4.214426062,6.8396709694318e-05,0.00270277,1.541454251,Transport
RP4-614O4.11,0.979583827,6.113806814,4.21258026,6.88508579001423e-05,0.00270277,1.515009869,NA
TMEM158,1.303256661,4.770795092,4.21171384,6.90650373669498e-05,0.00270277,1.533365712,NA
GPC1,0.821086891,7.194528807,4.207221403,7.01859159788528e-05,0.002732024,1.422386449,NA
PLK2,1.154808894,5.622794759,4.199056034,7.22682945929911e-05,0.002798198,1.491518903,Development (cell cycle)
ATP8A1,-0.573244626,9.10885434,-4.195185717,7.3276019907543e-05,0.002822284,1.146198895,Metabolism or Transport (lipid)
AHCYL1,0.85088706,6.847005811,4.191509407,7.42457722176679e-05,0.002844663,1.404217011,NA
MSX1,1.148937671,5.614800272,4.189972938,7.46547249706817e-05,0.002845434,1.463982953,NA
DMRTA1,1.227962581,5.48690759,4.182975904,7.65447132508317e-05,0.002884754,1.443117871,Development (differentiation)
EPS15L1,-0.752832756,8.082337914,-4.181597444,7.69224536386736e-05,0.002884754,1.283545823,NA
C8orf89,-1.57523246,5.176280735,-4.180872304,7.71218851018713e-05,0.002884754,1.38215688,NA
PRLR,0.564598786,8.941502616,4.180359739,7.72631538428975e-05,0.002884754,1.08260835,NA
SBNO2,-0.714522952,8.221353456,-4.167999148,8.07464076570615e-05,0.002982022,1.197067571,NA
BHLHE41,1.196905685,5.487561492,4.167907668,8.07727427999956e-05,0.002982022,1.395353119,NA
FAM84B,1.151796114,5.706036104,4.166805138,8.10907892110628e-05,0.002982022,1.385738942,NA
HIST2H2BE,1.122261483,5.319916466,4.155456265,8.44355331255159e-05,0.003076278,1.356964893,NA
PELI2,-0.627274533,8.477080177,-4.154159368,8.4826113148278e-05,0.003076278,1.118340809,NA
CASC4,-0.820712426,7.796879013,-4.153864939,8.49150272658115e-05,0.003076278,1.2397591,NA
TMEM18,0.984353124,6.191610071,4.149584915,8.62177254945376e-05,0.003108085,1.308709544,NA
DMRT2,-1.822710542,4.937579949,-4.147472393,8.68677842743519e-05,0.003116169,1.254855162,Development (differentiation)
ADAMTSL5,1.161205783,5.419453874,4.143319487,8.81594955656697e-05,0.003147079,1.31695599,NA
ARRDC3,0.997910749,6.235093853,4.138471485,8.96908209004338e-05,0.003186201,1.272785438,NA
BMP4,1.081704776,5.988921036,4.134929261,9.08258587609387e-05,0.003210935,1.266809257,NA
SYT5,-1.556680918,4.973128764,-4.131194217,9.20376630603318e-05,0.003238133,1.214481668,NA
GADD45A,1.087748124,5.83809435,4.124147993,9.43662801531855e-05,0.003304174,1.243655083,NA
FBXL20,-0.718888445,7.95711837,-4.117286108,9.66884390631645e-05,0.003351315,1.076113577,NA
FADS2,0.742484986,7.813157121,4.117173738,9.67269209159944e-05,0.003351315,1.071950549,Metabolism or Transport (lipid)
ESRRA,0.955915324,6.435196814,4.116125866,9.70864803480893e-05,0.003351315,1.187022938,Metabolism or Transport (lipid)
RRS1,1.119526645,5.36847618,4.103786832,0.000101418,0.003483976,1.188725993,NA
CASP8AP2,-1.047807136,6.850726985,-4.102270081,0.000101964,0.003483976,1.178495326,NA
WDR81,0.943715549,6.539737117,4.101177823,0.000102358,0.003483976,1.12979446,NA
COL26A1,-0.561413709,9.033834006,-4.09873551,0.000103245,0.003490102,0.832134515,Matrisome/cell adhesion/binding/signaling
CLIP2,-0.643047068,8.433398262,-4.098059701,0.000103492,0.003490102,0.939825986,Transport
STK32C,-0.641173892,8.612698718,-4.086517783,0.000107795,0.003618537,0.873291597,Development (apoptosis)
FAM13B,-0.892042816,7.479613744,-4.081465269,0.000109732,0.003657784,1.046712932,NA
TMEM141,1.224475045,5.412845013,4.080210216,0.000110218,0.003657784,1.114533,NA
ZNF350,-1.999557483,4.893241184,-4.078404686,0.000110922,0.003657784,1.031318192,NA
DYM,-0.513871625,9.371887483,-4.078298808,0.000110963,0.003657784,0.699630941,NA
RAB11FIP1,0.864876309,7.136364081,4.074679322,0.000112387,0.003683437,0.993116306,Transport
ASB6,1.101682014,5.82358673,4.073767742,0.000112748,0.003683437,1.082111648,NA
LAMTOR2,1.299312834,5.193283292,4.067106206,0.000115422,0.003754048,1.077802815,NA
SCNN1A,0.904565677,6.967063052,4.064999007,0.000116281,0.003765239,0.974968257,Transport
GIMAP1,-1.680461178,4.90291613,-4.062092318,0.000117475,0.003787158,1.002373933,NA
FZD1,1.003737174,5.978129363,4.057334283,0.000119456,0.00383412,1.018441936,Development (differentiation)
TSKU,0.895117017,6.45945607,4.048565727,0.000123191,0.003936722,0.968486886,NA
PABPC1,0.864506995,6.477714803,4.046936203,0.000123897,0.003942079,0.95802637,NA
KCNAB2,-0.667361903,8.341470515,-4.043645841,0.000125335,0.00397057,0.787664425,Transport
SKIDA1,1.034351227,5.928613151,4.031333518,0.00013086,0.004127721,0.939470358,NA
EZR,0.811047952,7.790434933,4.026169018,0.000133246,0.004184956,0.749722289,NA
C16orf62,-0.65911357,8.346105374,-4.021322624,0.000135523,0.004238293,0.701348303,NA
MAGI3,-0.56740819,8.863426568,-4.020087867,0.00013611,0.004238512,0.615939947,Matrisome/cell adhesion/binding/signaling
GRN,-1.534115118,5.53867816,-4.016917731,0.000137626,0.004267565,0.899362449,Inflammation/Immune/Stress/Toxic/Detox
CCDC85B,1.135402173,5.225012708,4.000330769,0.000145827,0.004502786,0.869069069,NA
LRRC42,0.933707248,6.562681004,3.997736374,0.000147151,0.00452459,0.793154283,NA
CAMK2B,-0.577354634,8.863305674,-3.990255235,0.000151035,0.004620215,0.514841539,Transport
IL36G,-1.455847626,5.544504402,-3.988266868,0.000152084,0.004620215,0.81850606,Inflammation/Immune/Stress/Toxic/Detox
MED27,-0.607767282,8.666021025,-3.988117918,0.000152163,0.004620215,0.54378806,NA
GPR142,-1.589803269,5.064937798,-3.98684964,0.000152836,0.004620215,0.787800029,NA
MAP2K4,-0.677000316,7.884223338,-3.98574831,0.000153423,0.004620215,0.647368402,NA
CDKN1A,0.983320297,6.360084271,3.984576248,0.000154049,0.004620215,0.765444996,Development (cell cycle)
ASAP1,-0.451247067,9.869716131,-3.982590841,0.000155117,0.004631971,0.313885788,NA
SYCP3,-1.660135474,4.903047905,-3.981497777,0.000155707,0.004631971,0.756362341,NA
GPRC5D,-1.485818099,4.950316773,-3.970481595,0.000161781,0.004793174,0.731326349,NA
SFT2D3,1.181115183,5.118923808,3.962663481,0.000166229,0.004905095,0.750785889,NA
CHCHD10,1.200022114,4.785376028,3.958738783,0.000168506,0.004946039,0.742215415,NA
IDH1,0.833607088,6.757307057,3.957135256,0.000169445,0.004946039,0.642537818,Metabolism (other)
TRIM24,-0.62101368,8.146893382,-3.956795655,0.000169644,0.004946039,0.509581466,NA
MAMSTR,1.125581314,5.7652296,3.954570746,0.000170957,0.004964524,0.712363469,NA
CASP8,-1.014338774,6.901582952,-3.949810163,0.000173798,0.005027077,0.692869061,NA
KDM6A,-0.600968615,8.536719817,-3.941403499,0.000178925,0.005155021,0.40943599,NA
PIGU,-0.674428737,8.121499016,-3.936214412,0.000182163,0.005210527,0.455155451,NA
CYR61,1.088550965,5.258293116,3.935438747,0.000182651,0.005210527,0.666304744,NA
SPSB2,0.991531682,6.198346896,3.93342457,0.000183926,0.005210527,0.611097569,NA
FAAP20,0.732069257,7.5312749,3.932945395,0.000184231,0.005210527,0.49125825,NA
C11orf49,-0.575569376,8.776141885,-3.932660577,0.000184412,0.005210527,0.340184377,NA
