Aggregated,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,0.405607477,0.675716376,0.086794976,-0.187578422,-1.016442964,519,"c(""ICAM2"", ""OLR1"", ""SOCS1"", ""WNT4"", ""RASGRP1"", ""ADAM8"", ""CD70"", ""CDH19"", ""ICAM3"", ""NT5E"", ""MDK"", ""WNT7B"", ""MBP"", ""EPHA7"", ""CLDN3"", ""SFTPD"", ""ICAM4"", ""PDCD1LG2"", ""RHOH"", ""PRKCZ"", ""TRAF6"", ""NECTIN4"", ""COMP"", ""IFNL1"", ""SOX4"", ""CXADR"", ""ROBO1"", ""ZC3H12A"", ""FAT4"", ""LGALS2"", ""VCL"", ""GLI3"", ""IDO1"", ""TNFSF14"", ""GPC4"", ""CCR7"", ""WNT3A"", ""LEP"", ""CEACAM6"", ""ITGAX"", ""SHH"", ""PTPRG"", ""SOCS6"", ""DUSP10"", ""BMP4"", ""PCDH17"", ""PTPRM"", ""CDH10"", ""PRKCQ"", ""SRF"", ""ITGB3"", ""FUT7"", ""EFNB2"", ""PRKG1"", ""ROCK1"", ""CLDN4"", ""PTAFR"", 
""IL7"", ""CSTA"", ""IL12B"", ""PPARA"", ""SPN"", ""CDH12"", ""DAB1"", ""ALCAM"", ""TENM2"", ""CTSG"", ""PTPRS"", ""YTHDF2"", ""IFNB1"", ""ITGAE"", ""LCK"", ""CX3CL1"", ""ITGA6"", ""PTPRU"", ""ITGAL"", ""CD80"", ""CCL19"", ""HLX"", ""CNTN5"", ""BLK"", ""IL12RB1"", ""RET"", ""ADAM19"", ""TIGIT"", ""CD83"", ""ITGA3"", ""LAG3"", ""CELSR2"", ""CITED2"", ""CLDN1"", ""TNFSF11"", ""YES1"", ""P2RY12"", ""RARA"", ""LAMA5"", ""CD58"", ""EPCAM"", ""FYN"", ""MYO10"", ""MAG"", ""NODAL"", ""EFNA5"", ""LILRB4"", ""SELENOK"", ""ANXA2"", ""HBB"", ""IL15"", ""NCK1"", ""S100A8"", ""MYB"", ""CDH8"", ""NECTIN1"", ""MADCAM1"", ""AP3B1"", 
""FGFRL1"", ""KRT18"", ""JUP"", ""SEMA4D"", ""APOA1"", ""KIFC3"", ""LGALS3"", ""ADGRL3"", ""ADIPOQ"", ""CRTAM"", ""ERBB2"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,0.066381156,0.323546177,0.257206466,0.237472015,1.209651445,265,"c(""MSN"", ""VAV1"", ""CD209"", ""CEBPB"", ""CD4"", ""JAK3"", ""AIF1"", ""B2M"", ""XBP1"", ""CORO1A"", ""VSIG4"", ""IL36B"", ""RUNX1"", ""LYN"", ""CD74"", ""LILRB1"", ""IL1B"", ""RHOA"", ""AP3D1"", ""ANXA1"", ""TGFBR2"", ""LILRB2"", ""CAV1"", ""IL2RA"", ""S100A9"", ""CD3E"", ""PTPRC"", ""CD81"", ""LAPTM5"", ""IL4"", ""ITGB2"", ""CCL2"", ""SYK"", ""SART1"", ""TBX21"", ""CD27"", ""PRNP"", ""PTPN6"", ""SCRIB"", ""AKT1"", ""PRKAR1A"", ""TESPA1"", ""CR1"", ""TFRC"", ""MAD1L1"", ""CSK"", ""CXCL12"", ""CD44"", ""FGL2"", ""EXT1"", ""F11R"", ""BCL6"", ""IL1A"", ""NCK2"", ""BMP7"", ""PYCARD"", ""IGF1"", ""PODXL2"", ""TNIP1"", 
""IL6"", ""PELI1"", ""CASP3"", ""NCKAP1L"", ""HSPD1"", ""KLRK1"", ""NR4A3"", ""HSPH1"", ""STAT5B"", ""NFKBIZ"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,0.082788671,0.352150454,0.23112671,0.228769963,1.188386604,307,"c(""DOCK1"", ""VAV1"", ""PLAUR"", ""CD209"", ""CD4"", ""JAK3"", ""CCN1"", ""AIF1"", ""B2M"", ""XBP1"", ""CORO1A"", ""STX4"", ""IL36B"", ""RUNX1"", ""LYN"", ""CD74"", ""LILRB1"", ""P4HB"", ""IL1B"", ""PDGFB"", ""SFRP2"", ""FLOT1"", ""RHOA"", ""AP3D1"", ""ANXA1"", ""TGFBR2"", ""LILRB2"", ""CAV1"", ""CRKL"", ""IL2RA"", ""DAB2"", ""CD3E"", ""ILK"", ""PTPRC"", ""CD81"", ""IL4"", ""ITGB2"", ""PREX1"", ""CCL2"", ""SYK"", ""SART1"", ""CD27"", ""DNM2"", ""AFDN"", ""PTPN6"", ""AKT1"", ""FGG"", ""FOXA1"", ""TFE3"", ""TESPA1"", ""CR1"", ""TFRC"", ""KDR"", ""PRKD2"", ""CSK"", ""ZFHX3"", ""CXCL12"", ""LDB1"", ""CD44"", ""F11R"", 
""TPM1"", ""BCL6"", ""IL1A"", ""NCK2"", ""BMP7"", ""PYCARD"", ""IGF1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,0.048568644,0.293201523,0.321775918,0.252755161,1.255606462,212,"c(""VAV1"", ""PLAUR"", ""CD209"", ""CD4"", ""JAK3"", ""AIF1"", ""B2M"", ""XBP1"", ""CORO1A"", ""IL36B"", ""RUNX1"", ""LYN"", ""CD74"", ""LILRB1"", ""IL1B"", ""FLOT1"", ""RHOA"", ""AP3D1"", ""ANXA1"", ""TGFBR2"", ""LILRB2"", ""CAV1"", ""IL2RA"", ""CD3E"", ""PTPRC"", ""CD81"", ""IL4"", ""ITGB2"", ""CCL2"", ""SYK"", ""SART1"", ""CD27"", ""AFDN"", ""PTPN6"", ""AKT1"", ""FGG"", ""FOXA1"", ""TESPA1"", ""CR1"", ""TFRC"", ""CSK"", ""CD44"", ""F11R"", ""BCL6"", ""IL1A"", ""NCK2"", ""BMP7"", ""PYCARD"", ""IGF1"", ""IL6"", ""NCKAP1L"", ""HSPD1"", ""KLRK1"", ""NR4A3"", ""HSPH1"", ""STAT5B"", ""NFKBIZ"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,0.056108506,0.306883882,0.321775918,0.264649164,1.278977663,179,"c(""VAV1"", ""CD209"", ""CD4"", ""JAK3"", ""AIF1"", ""B2M"", ""XBP1"", ""CORO1A"", ""IL36B"", ""RUNX1"", ""LYN"", ""CD74"", ""LILRB1"", ""IL1B"", ""RHOA"", ""AP3D1"", ""ANXA1"", ""TGFBR2"", ""LILRB2"", ""CAV1"", ""IL2RA"", ""CD3E"", ""PTPRC"", ""CD81"", ""IL4"", ""ITGB2"", ""CCL2"", ""SYK"", ""SART1"", ""CD27"", ""PTPN6"", ""AKT1"", ""TESPA1"", ""CR1"", ""TFRC"", ""CSK"", ""CD44"", ""BCL6"", ""IL1A"", ""NCK2"", ""PYCARD"", ""IGF1"", ""IL6"", ""NCKAP1L"", ""HSPD1"", ""KLRK1"", ""NR4A3"", ""HSPH1"", ""STAT5B"", ""NFKBIZ"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,0.122621564,0.416377456,0.184706471,0.20552249,1.123000103,496,"c(""APOD"", ""DOCK1"", ""VAV1"", ""PLAUR"", ""CD209"", ""CEBPB"", ""CD4"", ""JAK3"", ""CCN1"", ""AIF1"", ""B2M"", ""XBP1"", ""CORO1A"", ""VSIG4"", ""SPINT2"", ""PRKCD"", ""STX4"", ""IL36B"", ""SIPA1"", ""RUNX1"", ""LYN"", ""CD74"", ""LILRB1"", ""P4HB"", ""IL1B"", ""PDGFB"", ""SPI1"", ""SFRP2"", ""ADAM10"", ""FLOT1"", ""RHOA"", ""AP3D1"", ""TGFB1"", ""ANXA1"", ""TGFBR2"", ""LILRB2"", ""CAV1"", ""FBLN1"", ""CYP1B1"", ""CRKL"", ""IL2RA"", ""DAB2"", ""CD3E"", ""FES"", ""TGFBI"", ""ILK"", ""PTPRC"", ""CD81"", ""LAPTM5"", ""IL4"", ""ITGB2"", ""PREX1"", ""CCL2"", ""ATP5F1B"", ""SNAI2"", ""SYK"", ""THBS1"", ""SART1"", 
""PTPRA"", ""TBX21"", ""CD27"", ""DNM2"", ""PRNP"", ""AFDN"", ""PTPN6"", ""SCRIB"", ""AKT1"", ""PRKAR1A"", ""FGG"", ""FOXA1"", ""TFE3"", ""PML"", ""TESPA1"", ""CR1"", ""MEN1"", ""WDPCP"", ""PPP2R1A"", ""TFRC"", ""MAD1L1"", ""KDR"", ""ARHGDIB"", ""PRKD2"", ""CSK"", ""MACF1"", ""ZFHX3"", ""CXCL12"", ""LDB1"", ""RASA1"", ""CD44"", ""CD9"", ""FGL2"", ""F11R"", ""DSCAM"", ""TPM1"", ""BCL6"", ""IL1A"", ""NCK2"", ""SPOCK1"", ""BMP7"", ""PYCARD"", ""IGF1"", ""IL6"", ""PIK3R1"", ""C1QBP"", ""ABL2"", ""PELI1"", ""ADGRG1"", ""CASP3"", ""PLAU"", ""MAPK14"", ""NCKAP1L"", ""MELTF"", ""HSPD1"", ""KLRK1"", ""NR4A3"", ""HSPH1"", 
""EPHB2"", ""STAT5B"", ""CYTH1"", ""NFKBIZ"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,0.168443497,0.477051065,0.156312403,0.214977136,1.118933964,310,"c(""VAV1"", ""PLAUR"", ""CD209"", ""CEBPB"", ""CD4"", ""JAK3"", ""AIF1"", ""B2M"", ""XBP1"", ""CORO1A"", ""VSIG4"", ""SPINT2"", ""PRKCD"", ""IL36B"", ""RUNX1"", ""LYN"", ""CD74"", ""LILRB1"", ""IL1B"", ""SPI1"", ""FLOT1"", ""RHOA"", ""AP3D1"", ""TGFB1"", ""ANXA1"", ""TGFBR2"", ""LILRB2"", ""CAV1"", ""IL2RA"", ""CD3E"", ""PTPRC"", ""CD81"", ""LAPTM5"", ""IL4"", ""ITGB2"", ""CCL2"", ""SYK"", ""SART1"", ""TBX21"", ""CD27"", ""PRNP"", ""AFDN"", ""PTPN6"", ""SCRIB"", ""AKT1"", ""PRKAR1A"", ""FGG"", ""FOXA1"", ""TESPA1"", ""CR1"", ""TFRC"", ""MAD1L1"", ""CSK"", ""CXCL12"", ""CD44"", ""CD9"", ""FGL2"", ""F11R"", ""BCL6"", 
""IL1A"", ""NCK2"", ""BMP7"", ""PYCARD"", ""IGF1"")"
Adhesion,GOCC_ANCHORING_JUNCTION,0.000504169,0.021662728,0.477270815,0.269566926,1.445674994,408,"c(""HAMP"", ""WAS"", ""MSN"", ""RHOB"", ""VAV1"", ""GSN"", ""PLAUR"", ""CD99"", ""B2M"", ""CORO1A"", ""TES"", ""YWHAH"", ""PTK7"", ""MYH9"", ""PRKCD"", ""B4GALT1"", ""TIAM1"", ""LYN"", ""PARK7"", ""P4HB"", ""ANXA5"", ""HSP90B1"", ""FAP"", ""HSPA1B"", ""WDR1"", ""LCP2"", ""SIRT2"", ""YWHAG"", ""ADAM10"", ""FLOT1"", ""RHOA"", ""CYBA"", ""APP"", ""CDH11"", ""EVL"", ""JAML"", ""HSPG2"", ""ANXA1"", ""CAV1"", ""BSG"", ""SNAP23"", ""DAB2"", ""ARF1"", ""CD3E"", ""FES"", ""ILK"", ""PTPRC"", ""CD81"", ""ARPC5L"", ""ITGB2"", ""LRP1"", ""CD53"", ""HSPA8"", ""GNA13"", ""ZYX"", ""ENG"", ""TNS3"", ""PPIA"", ""VASP"", ""RHOG"", ""PTPRA"", 
""DNM2"", ""AFDN"", ""ACTR2"", ""PTPN6"", ""SCRIB"", ""HCK"", ""AKT1"", ""GDI2"", ""YWHAE"", ""CLTC"", ""TLN1"", ""PXN"", ""YBX3"", ""MARCKS"", ""ADD1"", ""DST"", ""CSK"", ""SDCCAG8"", ""CD44"", ""CD9"", ""EPB41L3"", ""F11R"", ""CAT"", ""PFN1"", ""MAPK1"", ""PIP5K1C"", ""GNB2"", ""DMD"", ""MDC1"", ""PPP1CA"", ""BMPR2"", ""CAP1"", ""HSPB1"", ""PIK3R1"", ""MTF2"", ""SCN2A"", ""PLAU"", ""AKAP12"", ""HSPA1A"", ""CDH3"", ""IQGAP1"", ""GRB2"", ""ADAM17"", ""ITGB5"", ""CPNE3"", ""CYTH1"", ""SV2A"", ""RAP2B"", ""MAPRE1"", ""RAC1"", ""EPHA2"", ""FZD4"", ""CD59"", ""CBL"", ""HYOU1"", ""FGF13"", ""PPP3CA"", ""RAP2C"", ""ACTR3"", 
""CD151"", ""TRIP6"", ""JAM3"", ""FLOT2"", ""LIMD1"", ""FHL1"", ""WASF2"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,1.15731138228201e-06,0.000425972,0.643551836,0.368356248,1.845076684,236,"c(""MSN"", ""RHOB"", ""GSN"", ""PLAUR"", ""CD99"", ""B2M"", ""TES"", ""PTK7"", ""MYH9"", ""P4HB"", ""ANXA5"", ""HSP90B1"", ""FAP"", ""HSPA1B"", ""YWHAG"", ""ADAM10"", ""FLOT1"", ""RHOA"", ""CYBA"", ""EVL"", ""HSPG2"", ""ANXA1"", ""CAV1"", ""BSG"", ""SNAP23"", ""DAB2"", ""ARF1"", ""FES"", ""ILK"", ""PTPRC"", ""CD81"", ""ARPC5L"", ""ITGB2"", ""LRP1"", ""HSPA8"", ""GNA13"", ""ZYX"", ""ENG"", ""TNS3"", ""PPIA"", ""VASP"", ""RHOG"", ""PTPRA"", ""DNM2"", ""ACTR2"", ""HCK"", ""GDI2"", ""YWHAE"", ""CLTC"", ""TLN1"", ""PXN"", ""MARCKS"", ""ADD1"", ""DST"", ""CD44"", ""CD9"", ""CAT"", ""PFN1"", ""MAPK1"", ""PIP5K1C"", ""GNB2"", 
""DMD"", ""MDC1"", ""CAP1"", ""HSPB1"", ""MTF2"", ""PLAU"", ""AKAP12"", ""HSPA1A"", ""IQGAP1"", ""ADAM17"", ""ITGB5"", ""CPNE3"", ""MAPRE1"", ""RAC1"", ""EPHA2"", ""CD59"", ""CBL"", ""HYOU1"", ""ACTR3"", ""CD151"", ""TRIP6"", ""FLOT2"", ""LIMD1"", ""FHL1"", ""CD99L2"", ""PPP1CC"", ""ATP6V0C"", ""NRP1"", ""ADAM9"", ""ITGB6"", ""JAK2"", ""PAK1"", ""DPP4"", ""EPB41L2"", ""EZR"", ""BCAR1"", ""VIM"", ""IL1RL1"")"
Adhesion,GOCC_CELL_SURFACE,0.028071649,0.215140233,0.352487858,0.218245012,1.202924259,550,"c(""CLU"", ""LDLR"", ""CD14"", ""MSN"", ""CD63"", ""ITGA9"", ""ERP44"", ""THBD"", ""CLSTN1"", ""CTSB"", ""PLAUR"", ""HBEGF"", ""CD209"", ""ENO1"", ""ATP6AP2"", ""CSF2RA"", ""CD4"", ""B2M"", ""C3"", ""TNFRSF1A"", ""FCGRT"", ""MRC1"", ""CSF1R"", ""CD8A"", ""B4GALT1"", ""STX4"", ""FCER1G"", ""CD74"", ""LILRB1"", ""FOLR2"", ""TYROBP"", ""P4HB"", ""ANXA5"", ""FAP"", ""MRGPRX1"", ""MFGE8"", ""PDGFB"", ""KCNQ1"", ""ERP29"", ""ADAM10"", ""SCARA5"", ""BST2"", ""ITGAM"", ""FLOT1"", ""CD69"", ""IL13RA1"", ""TMX3"", ""APP"", ""PDIA4"", ""ANTXR2"", ""TGFB1"", ""ANXA1"", ""TGFBR2"", ""LILRB2"", ""CLEC7A"", ""LAMP1"", ""IL2RA"", 
""CD93"", ""CD3E"", ""PTPRC"", ""PROM1"", ""CD244"", ""ITGB2"", ""BGN"", ""CD53"", ""ENG"", ""ATP5F1B"", ""TSPAN14"", ""MAP3K5"", ""THBS1"", ""CD1C"", ""ADAMTS9"", ""XCR1"", ""ANO6"", ""CD27"", ""HCST"", ""PRNP"", ""CD163"", ""FCRL5"", ""CLEC2D"", ""CD3D"", ""FGG"", ""TLN1"", ""PSEN1"", ""ADGRA3"", ""ACE2"", ""CR1"", ""IL21R"", ""CRLF2"", ""LILRA5"", ""TFRC"", ""HSP90AB1"")"
Adhesion,GOCC_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE,0.000143697,0.009911319,0.518848078,-0.245874572,-1.375926256,796,"c(""RHO"", ""ICAM2"", ""LYPD3"", ""OLR1"", ""SCN8A"", ""P2RX5"", ""FASLG"", ""ABCC3"", ""KCNJ8"", ""IL20RA"", ""KCNA3"", ""EDNRA"", ""C6"", ""ADAM8"", ""P2RX1"", ""SEMA4B"", ""CD70"", ""PTK2B"", ""ICAM3"", ""ITGB8"", ""TGFBR3"", ""EPHB4"", ""CNR1"", ""PLXNC1"", ""SLC6A1"", ""HRH2"", ""CACNB2"", ""CCR5"", ""TRPV1"", ""CD52"", ""OPN3"", ""ACVR2B"", ""EPHA7"", ""CLDN3"", ""TSPAN1"", ""RTN4RL1"", ""CYSLTR2"", ""ACVRL1"", ""NPC1L1"", ""BACE1"", ""SLC4A4"", ""KCNC2"", ""RTN4R"", ""ICAM4"", ""MC2R"", ""CCR9"", ""IL6R"", ""AQP9"", ""LPAR3"", ""KCNMA1"", ""LPAR1"", ""SLC6A11"", ""RAMP1"", ""S1PR4"", ""TRAF6"", ""GPR17"", 
""IFNL1"", ""CXADR"", ""ROBO1"", ""ULBP3"", ""FOLR3"", ""SSTR1"", ""IL22RA1"", ""ADCY5"", ""MAS1"", ""GPC4"", ""ASIC2"", ""SLC17A5"", ""ITGAX"", ""GRM1"", ""PTPRG"", ""IL9R"", ""MMP16"", ""CXCR2"", ""AKAP9"", ""CCR10"", ""CD82"", ""PCDH17"", ""IRAG2"", ""ADGRG5"", ""SLC11A1"", ""KLRC3"", ""PTPRM"", ""DRD1"", ""ABHD6"", ""GCGR"", ""CACNG4"", ""MCOLN1"", ""SLC12A3"", ""TRPV5"", ""CDH10"", ""PTPRZ1"", ""ITGB3"", ""CACNA1C"", ""EFNB2"", ""CSPG4"", ""EPHB1"", ""FZD10"", ""ACVR1B"", ""LNPEP"", ""SLC16A1"", ""CLDN4"", ""PTAFR"", ""KCNJ11"", ""NRG3"", ""SEMA3E"", ""MIP"", ""KCNE1"", ""SPN"", ""FCRL4"", ""ALCAM"", 
""TENM2"", ""LRRC8B"", ""ANKH"", ""PTPRS"", ""SSTR3"", ""ITGAE"", ""KCNJ2"", ""ADGRG3"", ""NPR3"", ""ATP2B2"", ""GABRB1"", ""EPHA3"", ""FZD5"", ""TREM2"", ""NPY5R"", ""HRH1"", ""ALK"", ""ITGA6"", ""PTPRU"", ""ULBP1"", ""FFAR4"", ""ITGAL"", ""MLANA"", ""KIR3DL1"", ""SLC2A2"", ""PSEN2"", ""SLC2A1"", ""PTGIR"", ""F2RL1"", ""GRID1"", ""TACR3"", ""CNTN5"", ""RGMB"", ""IL12RB1"", ""RET"", ""C8B"", ""GPHN"", ""TRAF5"", ""SLC8A1"", ""CD83"", ""NOD1"", ""ITGA3"", ""F10"", ""ADRA1B"", ""GRIK1"", ""TFR2"", ""SLC11A2"", ""CD19"", ""RAMP3"", ""CACNA1H"", ""NPC1"", ""IL10RB"", ""CLDN1"", ""CD96"", ""TNFSF11"", ""ITPR3"", 
""FCER2"", ""KCND2"", ""MS4A1"", ""GRIN1"", ""PDGFRB"", ""LTK"", ""ADRA1D"", ""RASGRP3"", ""ADRB2"", ""PTPRO"", ""CD58"", ""TRPC6"", ""HTR7"", ""ITGB4"", ""MAG"", ""VAMP5"", ""TNFRSF4"", ""EFNA5"", ""SLC22A3"", ""LILRB4"", ""NOTCH2"", ""OPRM1"", ""EPHA4"", ""CACNG3"", ""BIRC2"", ""CD36"", ""TNFRSF18"", ""GRIA2"", ""NKG7"", ""TNFRSF13B"", ""FLT1"", ""C9"", ""NECTIN1"", ""PTPRN2"", ""TRAV19"", ""CHRNA4"", ""GALR3"", ""FLT3"", ""SEMA4D"", ""NCF1"", ""NTSR2"", ""SLC16A2"", ""CACNG1"", ""EPHA6"", ""ADGRL3"", ""FGFR4"", ""DLL1"", ""ABCC8"", ""ERBB2"", ""SLC2A13"", ""CRHR2"", ""GABRG3"", ""SLC18A2"")"
Adhesion,GOBP_CELL_MATRIX_ADHESION,0.038694335,0.249722352,0.321775918,-0.276582619,-1.306624985,149,"c(""LYPD3"", ""WNT4"", ""OTOA"", ""PTK2B"", ""ITGB8"", ""BST1"", ""ACVRL1"", ""TSC1"", ""VTN"", ""PRKCZ"", ""GREM1"", ""VCL"", ""CCR7"", ""CEACAM6"", ""ITGAX"", ""S100A10"", ""SRF"", ""ITGB3"", ""ROCK1"", ""ARHGEF7"", ""SEMA3E"", ""TNN"", ""ITGAE"", ""MMP12"", ""EPHA3"", ""CX3CL1"", ""ITGA6"", ""ITGAL"", ""GPM6B"", ""SORBS1"", ""FBLN5"", ""ITGA3"", ""ACER2"", ""CD96"", ""NF1"", ""ITGB4"", ""EFNA5"", ""CD36"", ""MADCAM1"", ""SFRP1"", ""SMAD3"", ""JUP"", ""ADAM15"", ""MSLN"")"
Adhesion,GOBP_CELL_SUBSTRATE_ADHESION,0.277246654,0.585726508,0.111011492,-0.213015046,-1.067261371,226,"c(""LYPD3"", ""NPY"", ""WNT4"", ""OTOA"", ""SPOCK2"", ""PTK2B"", ""ITGB8"", ""MDK"", ""BST1"", ""ACVRL1"", ""TSC1"", ""VTN"", ""PRKCZ"", ""FZD7"", ""GREM1"", ""CARMIL1"", ""VCL"", ""ANGPT1"", ""CCR7"", ""CEACAM6"", ""ITGAX"", ""S100A10"", ""SRF"", ""ITGB3"", ""EPHB1"", ""ROCK1"", ""ARHGEF7"", ""NTN4"", ""SEMA3E"", ""TNN"", ""ITGAE"", ""MMP12"", ""EPHA3"", ""LAMB4"", ""CX3CL1"", ""ITGA6"", ""ITGAL"", ""GPM6B"", ""SORBS1"", ""FBLN5"", ""ITGA3"", ""ACER2"", ""CD96"", ""NF1"", ""PTPRO"", ""LAMA5"", ""ITGB4"", ""EFNA5"", ""CD36"", ""MADCAM1"", ""OLFM4"", ""SFRP1"", ""SMAD3"", ""JUP"", ""ADAM15"", ""APOA1"", ""MSLN"", 
""UNC13D"", ""FBLN2"")"
Adhesion,GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,0.058350101,0.310876347,0.266350657,0.270181458,1.297468231,161,"c(""BCL3"", ""GAS6"", ""GSN"", ""CST3"", ""CCN1"", ""TNFRSF1A"", ""SPINT2"", ""B4GALT1"", ""RUNX1"", ""FAP"", ""SFRP2"", ""ADAM10"", ""FLOT1"", ""APP"", ""SERPINH1"", ""TGFB1"", ""CAV1"", ""FBLN1"", ""CYP1B1"", ""TGFBI"", ""CTSS"", ""LRP1"", ""NOX1"", ""ENG"", ""OLFML2B"", ""ADAMTS9"", ""P4HA1"", ""DPT"", ""LUM"", ""FOXC1"")"
Adhesion,GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION,0.185546875,0.493550513,0.14122512,-0.243787661,-1.136365346,136,"c(""NPY"", ""WNT4"", ""SPOCK2"", ""PTK2B"", ""MDK"", ""BST1"", ""ACVRL1"", ""TSC1"", ""PRKCZ"", ""FZD7"", ""GREM1"", ""CARMIL1"", ""VCL"", ""CCR7"", ""CEACAM6"", ""S100A10"", ""ROCK1"", ""ARHGEF7"", ""SEMA3E"", ""MMP12"", ""EPHA3"", ""CX3CL1"", ""GPM6B"", ""ITGA3"", ""ACER2"", ""NF1"", ""PTPRO"", ""EFNA5"", ""CD36"", ""OLFM4"", ""SFRP1"", ""SMAD3"", ""JUP"", ""ADAM15"", ""APOA1"", ""UNC13D"", ""FBLN2"")"
Adhesion,GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX,0.036553741,0.24285768,0.321775918,0.249674825,1.251603916,239,"c(""F13A1"", ""CLU"", ""IGFBP7"", ""A2M"", ""COL6A2"", ""PLSCR1"", ""CTSB"", ""CCN1"", ""HNRNPM"", ""SERPINB1"", ""C1QA"", ""TIMP2"", ""ANXA5"", ""HSP90B1"", ""PSAP"", ""MFGE8"", ""PDGFB"", ""SFRP2"", ""CTSZ"", ""C1QC"", ""SERPINH1"", ""TGFB1"", ""HSPG2"", ""MGP"", ""ANXA1"", ""OGN"", ""FBLN1"", ""DCN"", ""S100A9"", ""TGFBI"", ""CTSS"", ""CTSF"", ""BGN"", ""RARRES2"", ""C1QB"", ""THBS1"", ""SPARCL1"", ""ADAMTS9"")"
Adhesion,GOCC_COLLAGEN_TRIMER,0.764091858,0.880464894,0.060118614,0.214843243,0.82289194,45,"c(""MARCO"", ""COL6A2"", ""C1QA"", ""C1QC"", ""C1QB"", ""LUM"")"
Adhesion,GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE,0.05380334,0.303265705,0.266350657,-0.23671705,-1.218908312,286,"c(""MBL2"", ""NCAN"", ""COL9A3"", ""WNT4"", ""SPOCK2"", ""VCAN"", ""TGFBR3"", ""PCOLCE"", ""PF4"", ""WNT5B"", ""MDK"", ""RTN4RL1"", ""CPA3"", ""MFAP5"", ""VTN"", ""ANGPTL4"", ""COMP"", ""WNT2"", ""PCSK6"", ""GREM1"", ""APOC3"", ""ANGPT1"", ""ADAMTS5"", ""A1BG"", ""GPC4"", ""THSD4"", ""SHH"", ""MMP16"", ""LEFTY2"", ""ADAMTS17"", ""LTBP1"", ""S100A10"", ""CHAD"", ""SPP2"", ""FGF1"", ""ANXA4"", ""PTPRZ1"", ""CSPG4"", ""CD180"", ""NTN4"", ""TGFB3"", ""IL7"", ""TNN"", ""CTSG"", ""CHI3L1"", ""LRRC3B"", ""MMP12"", ""SDC2"", ""VWA1"", ""KNG1"", ""LAMB4"", ""FMOD"", ""LOXL2"", ""LAD1"", ""F2"", ""SRPX"", ""LGALS3BP"", 
""ADAM19"", ""FBLN5"", ""MMP9"", ""LOX"", ""COL27A1"", ""FCN1"", ""LAMA5"", ""ITGB4"", ""EFNA5"", ""WNT6"", ""MMP11"", ""SPON1"", ""ANXA2"", ""KRT1"", ""S100A8"", ""THBS2"", ""SFRP1"", ""P3H2"", ""COL9A2"", ""APOA1"", ""LGALS3"", ""COL4A2"", ""AMELX"", ""LAMC2"", ""FBLN2"", ""ADIPOQ"", ""COL2A1"", ""GPC5"", ""COL5A1"", ""MMP19"", ""COL24A1"", ""NID2"", ""TMEFF2"")"
Adhesion,GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT,0.408730159,0.677034074,0.089710465,0.233937303,1.020716444,93,"c(""IGFBP7"", ""COL6A2"", ""CD4"", ""CCN1"", ""MFGE8"", ""HSPG2"", ""MGP"", ""OGN"", ""FBLN1"", ""DCN"", ""TGFBI"", ""BGN"", ""THBS1"", ""DPT"", ""LUM"", ""FGG"")"
Adhesion,GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH,0.765151515,0.880464894,0.055479331,-0.233046938,-0.802837524,28,"c(""COL9A3"", ""COL27A1"", ""COL9A2"", ""COL4A2"", ""COL2A1"", ""COL5A1"", ""COL24A1"", ""COL5A3"", ""COL6A6"", ""COL12A1"")"
